provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;25 DE MAYO;Estatal;Rural;10º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;102;9;3; ;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;11º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;106;12;5; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;12º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;67;13;2; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Rural;1º; ; ; ; ; ;1;94; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;2º; ; ; ; ; ; ; ;100;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;3º; ; ; ; ; ; ; ; ;104;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;4º; ; ; ; ; ; ; ; ; ;117;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;5º; ; ; ; ; ; ; ; ; ; ;109;10;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;6º; ; ; ; ; ; ; ; ; ; ; ;82;7;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;7º; ; ; ; ; ; ; ; ; ; ; ; ;121;5;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;8º; ; ; ; ; ; ; ; ; ; ; ; ; ;115;5;3;5; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;9º; ; ; ; ; ; ; ; ; ; ; ; ; ; ;95;5;11;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;Sala de 2; ; ;70; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;Sala de 3; ; ; ;57; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;Sala de 4; ; ; ; ;76; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;Sala de 5; ; ; ; ; ;79; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;10º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;187;78;36;28;3; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;11º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;179;57;17;2; ; ; ; ; ; ; ; ; ; ; ;4; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;12º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;169;52;10; ; ; ; ; ; ; ; ; ; ; ;3; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;13º/14º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;4; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;1º; ; ; ; ; ; ;305;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;2º; ; ; ; ; ; ; ;314;25;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;3º; ; ; ; ; ; ; ; ;274;30;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;4º; ; ; ; ; ; ; ; ;7;291;43;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;5º; ; ; ; ; ; ; ; ; ; ;305;24;7;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;6º; ; ; ; ; ; ; ; ; ; ;8;263;25;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;7º; ; ; ; ; ; ; ; ; ; ; ; ;295;43;15;16;9;7;2; ; ; ; ; ; ; ;1; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;8º; ; ; ; ; ; ; ; ; ; ; ; ;2;283;65;49;32;18;2; ; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;9º; ; ; ; ; ; ; ; ; ; ; ; ; ;16;209;56;47;15;2;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Deambuladores; ;101; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Lactantes;61;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 2; ;2;219; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 3; ; ;3;368; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 4; ; ; ;8;372; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 5; ; ; ; ;4;355; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;SNU; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;57;56;65;53;49;55;44; ; ; ; ; ;284; ;180
Buenos Aires;25 DE MAYO;Privado;Urbano;10º; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;89;9;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;95;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;12º; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;89;3;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;1º; ; ; ; ; ; ;157; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;2º; ; ; ; ; ; ; ;143;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;3º; ; ; ; ; ; ; ; ;146;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;4º; ; ; ; ; ; ; ; ;1;141;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;5º; ; ; ; ; ; ; ; ; ; ;146;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;6º; ; ; ; ; ; ; ; ; ; ; ;132;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;7º; ; ; ; ; ; ; ; ; ; ; ; ;118;4;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;8º; ; ; ; ; ; ; ; ; ; ; ; ; ;124;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9º; ; ; ; ; ; ; ; ; ; ; ; ; ; ;121;11;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 3; ; ; ;121; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
