provincia;Departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;TORDILLO;Estatal;Rural;1;0;8;0;6;0;1;0;0;2;0;11;0;8;0;4;0;0;3;0; ; ;8;0;0; ; ; ; ; ; ; ;22;0;0;111;0;0;0;0;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TORNQUIST;Estatal;Rural;2;0;15;0;11;0;3;0;0;5;0;21;0;12;0;10;0;2;13;1;0;0;10;0;0; ; ; ; ; ; ; ;97;0;0;282;3;0;0;0;1021,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TORNQUIST;Estatal;Urbano;7;0;29;0;25;0;0;0;2;8;0;41;0;7;0;1;0;0;16;0;4;0;51;0;0;3;0;35;0;3;0;0;76;0;0;345;0;0;0;0;1861,5;0;0;0;0;331,5;27;0;0;0;0;0;0;0;0;0
Buenos Aires;TRENQUE LAUQUEN;Estatal;Rural;1;0;21;0;5;0;4;0;0;1;0;17;0;10;0;28;0;5;5;3;1;0;0;0;0; ; ; ; ; ; ; ;80;0;0;282;15;8;0;0;511,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TRENQUE LAUQUEN;Estatal;Urbano;18;0;71;0;41;0;0;0;0;33;0;144;0;45;0;0;0;0;39;1;0;0;139;0;0;10;1;7;0;8;0;0;122;0;0;1140;0;36;47;0;6325,5;0;69;0;0;2266,5;58;0;0;0;0;0;0;0;0;0
Buenos Aires;TRENQUE LAUQUEN;Privado;Urbano;11;0;30;0;16;0;0;0;3;16;0;50;0;21;0;0;0;7;12;0;0;0;28;0;10; ; ; ; ; ; ; ;72;0;0;451,5;0;0;0;0;2419,5;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TRES ARROYOS;Estatal;Rural;2;0;13;0;11;0;3;0;0;6;1;31;0;16;1;10;0;0;10;0;4;0;22;0;0; ; ; ; ; ; ; ;53;0;0;343,5;9;0;0;0;1099,5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TRES ARROYOS;Estatal;Urbano;24;0;88;0;51;0;1;0;4;34;5;174;3;69;0;1;0;1;38;0;1;0;155;0;1;19;6;150;0;17;3;0;272;0;0;1651,5;27;0;0;0;6222;24;36,5;15;0;1524;192;0;0;18;0;0;0;0;0;0
Buenos Aires;TRES ARROYOS;Privado;Urbano;15;0;39;0;27;0;0;0;1;16;0;65;0;13;0;0;0;0;9;0;0;0;18;0;0; ; ; ; ; ; ; ;111;0;0;478,5;0;0;0;0;1461;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;TRES DE FEBRERO;Estatal;Urbano;95;4;400;0;236;3;0;0;27;145;12;835;17;176;1;0;0;3;200;1;0;0;443;7;2;24;6;274;3;10;1;0;743;0;62;5088;60;0;0;0;25020;328,5;23;0;0;5237;11;0;0;0;0;0;0;0;0;0
