provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;15;0;13;0;6;0;0;6;1;39;0;16;0;27;0;0;18;0;4;0;55;0;0; ; ; ; ; ; ; ;29;0;0;432;0;0;0;0;1641;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;15;1;75;0;47;0;1;0;0;22;0;102;0;43;0;0;0;3;24;0;0;0;73;0;4;8;2;0;0;9;0;0;102;0;0;711;0;0;18;0;3394,5;0;41,5;0;19,5;1318,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;2;0;14;0;7;0;2;0;0;8;0;37;0;6;0;0;0;0;7;0;0;0;10;0;0; ; ; ; ; ; ; ;12;0;9;192;0;99;0;0;966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;1;0;19;0;12;0;8;0;2;8;0;42;0;20;0;23;0;0;19;0;0;0;20;1;0; ; ; ; ; ; ; ;12;0;140;499,5;6;0;42;12;1570,5;31,5;25;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;0;72;0;38;0;0;0;1;33;1;125;0;43;0;0;0;0;36;4;0;0;101;8;0;13;2;0;0;15;4;0;132;0;0;1030,5;3;0;114;0;5803,5;0;355;0;27;1368;91,5;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano;0;0;15;0;10;0;0;0;3;9;0;31;0;8;0;0;0;3;8;0;0;0;14;0;6; ; ; ; ; ; ; ;25;0;8;147;0;30;0;0;1029;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1;0;13;0;5;0;2;0;0;3;0;11;0;9;0;17;0;1;2;0; ; ;6;0;0; ; ; ; ; ; ; ;12;0;0;145,5;12;0;0;0;406,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;7;0;26;0;18;0;2;0;0;14;0;53;0;20;0;0;0;0;29;3;4;0;61;1;0; ; ; ; ; ; ; ;48;0;0;396;12;0;0;0;2166;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2;0;10;0;5;0;2;0;0;4;0;12;0;6;0;10;0;0;13;0;0;0;11;0;0; ; ; ; ; ; ; ;21;0;1;306;0;0;0;0;900;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6;0;26;0;17;0;0;0;0;8;0;31;0;18;0;0;0;0;10;0; ; ;21;0;0;2;0; ; ;3;0;0;43;0;0;216;0;0;19,5;0;1017;0;72,5;0;0;409,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Rural;2;0;10;0;9;0;2;0;0;3;0;15;0;9;0;5;0;2;9;0;5;0;21;0;0; ; ; ; ; ; ; ;15;0;0;174;0;0;0;0;532,5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Urbano;4;0;16;0;10;0;0;0;0;20;0;13;0;13;0;0;0;0;11;0; ; ;28;0;0; ; ; ; ; ; ; ;24;0;0;222;0;0;22,5;0;1377;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;113;6;448;0;232;2;0;0;9;319;5;1494;0;281;0;1;0;35;292;13;3;0;881;46;3;15;6;0;0;37;22;0;831;9;0;11260,5;52,5;544,5;270;0;47803,5;127,5;329;0;141;3469,5;150;0;0;0;0;0;0;0;0;0
