provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3; ;15; ;13; ;6; ; ;6;1;36;1;10; ;26; ; ;18; ;4; ;42; ; ; ; ; ; ; ; ; ;27; ; ;426; ; ; ; ;2397; ;47; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;17; ;79; ;54; ;1; ; ;21;1;100; ;42; ;1; ;1;30; ;127; ;77;2;8;10;2; ; ;10; ; ;96; ; ;853,5; ; ; ; ;3360; ;40; ;54;1339,5;4,5; ; ;18;19,5; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;2; ;14; ;6; ;1; ; ;8; ;35; ;6; ; ; ; ;7; ; ; ;14; ; ; ; ; ; ; ; ; ;21; ;9;192; ;129; ; ;987; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;1; ;21; ;14; ;8; ;1;8; ;41; ;19; ;21; ; ;23;1;10;1;19;3; ; ; ; ; ; ; ; ;41; ;142;498; ;22,5;42;12;1738,5;31,5;25; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;16; ;72; ;37; ; ; ;1;26;1;132; ;51; ;1; ; ;35;2; ; ;92;4; ;12;3; ; ;15;4; ;126; ; ;1054,5; ; ;114; ;5796; ;339; ; ;1353;129; ; ;24; ;603; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano; ; ;15; ;10; ; ; ;1;9; ;31; ;9; ; ; ;2;8; ; ; ;15; ;8; ; ; ; ; ; ; ;61; ;3;147; ;22,5; ; ;1233; ; ; ;19,5; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1; ;14; ;6; ;2; ; ;4; ;11; ;7; ;14; ;1;2; ; ; ;6; ; ; ; ; ; ; ; ; ;12; ; ;171; ; ; ; ;382,5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;7; ;27; ;20; ;2; ; ;12;1;51; ;21; ; ; ; ;27;3;7; ;54;1; ; ; ; ; ; ; ; ;39; ; ;457,5;3; ; ; ;2218,5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2; ;10; ;5; ;2; ; ;2; ;12; ;5; ;12; ; ;13; ; ; ;9; ; ; ; ; ; ; ; ; ;21; ; ;151,5;3; ; ; ;744; ;18; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6; ;25; ;16; ; ; ; ;8; ;31; ;17; ;1; ; ;10; ; ; ;22; ; ;2; ; ; ;3; ; ;52; ; ;327; ; ;19,5; ;996; ;54,5; ;15;445,5; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;2; ;9; ;8; ;2; ; ;4; ;15; ;13; ;5; ; ;8; ;5; ;23; ; ; ; ; ; ; ; ; ;21; ; ;159; ; ; ; ;585; ;8; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;4; ;15; ;10; ;1; ; ;6; ;26; ;9; ; ; ; ;12; ; ; ;23; ; ; ; ; ; ; ; ; ;33; ; ;213;9; ;22,5; ;1210,5; ;8; ; ; ; ; ; ; ; ; ; ; ; ; 
