provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;ALBERTI;Estatal;Urbano;10; ; ; ; ; ; ; ; ; ; ; ; ; ;306; ; ; ; ; ; ; ; ;567; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ;3; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;320;184;542;422; ;4;3;2; ; ;0; ;66; ;2; ;4;2;2; ;2;3;3;1;2;2;7; ; ;10; ; ;9; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;234; ;26; ; ; ; ; ; ; ;1; ; ; ;19272; ; ; ; ; ; ; ; ;31150; ; ; ; ; ; ; ; ;10;15; ;25; ;10; ; ; ;12; ; ;1; ;15;2;1; ;1;4;1; ;197;1;9;7; ;432;40;13;1;9;15;1; ;223;3;5;7;1;530;32;14; ;24;6; ; ;7; ;3;1; ;16;1;4; ; ; ; ; ;21488;10430;11637;21468; ;31;81;75;2;704;44; ;1675; ;59; ;58;59;74; ;75;81;88;1;86;84;145;7;31;367;57;43;94;4;8;1; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;184; ; ; ; ;4417; ; ; ; ; ; ; ; ;21131; ; ; ; ; ;120; ; ;14143; ; ; ; ; ;160; ; ;454; ; ; ; ; ; ; ; ; ; ;1;3; ;1; ; ;1;2;4; ; ;3;4;1;4; ;32;11;2; ;8;25;7; ;6;2;5;8; ;95;25;4; ;11;12;3;1;15; ;1; ; ;11;6; ; ; ; ; ; ;58; ;187;173; ;44;43;55;4;14;83; ;295; ;63; ;62;64;44; ;44;45;53; ;25;54;21;46;31;52;101;54;17;18;5; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;14; ; ; ; ; ; ; ; ; ; ; ; ; ;106; ; ; ; ; ; ; ; ;133; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;73;110;11;223; ;1;7;1; ; ;0; ; ; ;1; ;3;1;3; ;7;3;1; ; ;1; ; ; ;3;1; ;3; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;31; ; ; ; ; ; ; ; ; ; ; ; ; ;1310; ; ; ; ; ; ; ; ;2378; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;4; ;1; ;1;4; ; ;3;1; ; ; ;7; ;3; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2160;828;378;1658; ;5;9;8;1;4;0; ;134; ;8; ;9;9;6; ;8;7;7; ;3;5;239; ; ;27;2;3;17; ;2; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;189; ; ; ; ; ; ; ; ; ; ; ; ; ;11386; ; ; ; ; ; ; ; ;16973; ; ; ; ; ;1785; ; ;352;25; ; ; ; ; ; ; ;15;2;1;1; ;39;17;3;1;3;9;1;1;94;9;3;10; ;322;142;17;3;17;19; ;4;76;5;4;10; ;457;127;34;3;23;10;1;5;26;3;16;16; ;27;26;11;3;6;8;5; ;16420;8476;5379;9314; ;52;50;47;10;99;36; ;3071; ;69; ;67;73;42; ;39;56;48; ;47;44;80;16;14;226;19;5;82;10;4; ;2;2
Buenos Aires;AVELLANEDA;Privado;Urbano;117; ; ; ; ;3340; ; ; ; ; ; ; ; ;12587; ;11; ; ; ;11; ; ;11403; ; ; ; ; ;95; ; ;72; ; ; ; ; ;71; ; ; ; ; ;2; ;3;1; ; ;1; ; ;1;7;5; ;3; ;17;11;5; ;4;27;4;1;16;5;2;2;3;46;31;7;1;11;9;1;2;23; ;3;1;1;28;6;6;1; ; ;1; ;291; ; ;194; ;31;30;33;6; ;2; ;1232;402;38;1;39;40;30; ;24;30;30; ;17;29;29;27;91;67;85;14;20;22;3; ; ; 
Buenos Aires;AYACUCHO;Estatal;Rural;42; ; ; ; ; ; ; ; ; ; ; ; ; ;239; ; ; ; ; ; ; ; ;257; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;311;296;21;246; ;1;17;3; ;5;21; ; ; ;4;4; ;4;16;8;6;16;2;1;1;2; ; ; ;15;1; ;3; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;24; ; ; ; ; ; ; ; ; ; ; ; ; ;957; ; ; ; ; ; ; ; ;1588; ; ; ; ; ; ; ; ;36; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;4; ; ; ; ;2; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;678;288; ;1103;18;5;6;8;2;6;3; ;71; ;5; ;6;5;4; ;4;5;5;1;6;4;8; ; ;13; ; ;15; ;1; ; ; 
Buenos Aires;AZUL;Estatal;Rural;47;4; ; ; ; ; ; ; ; ; ; ; ; ;222; ; ; ; ; ; ; ; ;155; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;204;105;52;270;52;3;27;4; ;3;1; ; ; ;7;1;4;6;10; ;20;8;3; ;1;4; ; ; ;6; ;3;4;1;1; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;61; ; ; ; ; ; ; ; ; ; ; ; ; ;2465; ; ; ; ; ; ; ; ;4017; ; ; ; ; ; ; ; ;198; ; ;9; ; ; ; ; ;1; ; ; ; ;3; ; ; ; ; ; ; ;309; ;1; ; ;10; ; ; ; ; ; ; ;2; ;2;2; ;11;1; ; ; ; ; ; ; ; ;1; ;1;1; ; ;1; ;1; ; ;1780;1004; ;2449; ;13;19;12;3;5;47; ;434; ;14; ;20;14;13; ;14;18;14; ;7;12;12;6; ;52;6; ;30; ;3; ; ;1
Buenos Aires;AZUL;Privado;Urbano;23; ; ; ; ;421; ; ; ; ; ; ; ; ;1543; ; ; ; ; ; ; ; ;1502; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;2; ; ; ; ; ; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;66; ;4;7;7;3; ;2; ; ; ;5; ;5;5;4; ;6;4;8; ;2;7;2;4;3;10;7; ;1;2;1; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;6; ;2; ; ; ; ; ; ; ; ; ; ; ;117; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;103;105; ;88; ;1;5; ; ;1;1; ;29; ;1; ; ;1;4; ;1;5; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;202; ; ; ;4; ; ; ; ; ; ; ; ; ;9843; ; ; ; ; ; ; ; ;18085; ; ;41;18; ;374; ; ;1077;15;46;44;11; ; ; ; ;5;1;2; ;1;7;2; ; ;2;2;1; ;20;4;18;3;1;54;2;2;2;8;13; ; ;36;6;29;6;1;29;5;2;1;11;4; ; ;6; ;9; ; ; ;2; ; ;1;1; ; ;9872;3347;1552;9347; ;57;65;60;11;16;22; ;533; ;62; ;56;62;60; ;62;65;59; ;45;55;85;15;10;290;13;7;114;4;19;3;2;4
Buenos Aires;BAHIA BLANCA;Privado;Urbano;81; ; ; ; ;1913; ; ; ; ; ; ; ; ;6399; ; ; ; ; ;256; ; ;7021; ; ; ; ; ;414; ; ;917;28;10;54; ;26; ; ; ;1;1;2; ; ;1;1; ; ;3;5; ; ; ;3;4; ;1;1; ; ; ;19;12;3;5;1;4;4; ;1;2; ; ; ;13;7; ;3;2;3;4; ; ;3;1; ; ;1;1; ;1;111; ; ;155; ;25;17;22;10; ;1; ;256; ;24; ;28;24;12; ;15;13;22; ;1;21;19;20;14;24;25;1;25;25; ;1;2; 
Buenos Aires;BALCARCE;Estatal;Rural;36; ; ; ; ; ; ; ; ; ; ; ; ; ;155; ; ; ; ; ; ; ; ;274; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;227;38;19;92; ;5;18;5; ; ;0; ; ; ;4;1;3;4;12; ;11;12;3; ;3;3; ; ; ;8; ; ;10; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;45; ; ; ; ; ; ; ; ; ; ; ; ; ;1471; ; ; ; ; ; ; ; ;3264; ; ; ; ; ; ; ; ;47; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ;1; ;4; ; ;10;1; ; ; ;12; ;1; ;2;7; ; ;19; ; ; ; ;11; ;1; ; ;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ;840;357; ;1017; ;12;11;13;2;3;5; ;86; ;11; ;16;11;9; ;9;10;12; ;9;12;8; ; ;33;3;4;21; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5; ; ; ; ; ; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ;150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;2; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;150; ;32; ; ;1;2; ; ;0; ; ; ;1; ;1;1;2; ; ;2;2; ; ;2; ; ; ; ; ; ;3; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Urbano;4; ; ; ; ; ; ; ; ; ; ; ; ; ;543; ; ; ; ; ; ; ; ;213; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1; ; ;0; ; ; ; ; ;3; ;2; ;3;2;1; ; ;1;1; ; ;5;2; ;1;1; ; ; ; 
Buenos Aires;BARADERO;Estatal;Rural;25; ; ; ; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ;334; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;330;444;231;545;96;2;10;5; ; ;0; ;54; ;1;1;4; ;3;2;9;3;2;1;1;4;2; ; ;12;3; ;3; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;38; ; ; ; ; ; ; ; ; ; ; ; ; ;1325; ; ; ; ; ; ; ; ;2313; ; ; ; ; ; ; ; ;98; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ;10; ; ; ; ;6; ; ; ;1;1; ; ;20; ; ; ; ;4; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ;1;1; ; ;715;284; ;1016; ;6;5;9;2;7;0; ;85; ;8;1;14;8;4;1;9;5;8;1;4;8;18;3;2;40;13; ;4; ; ; ; ; 
Buenos Aires;BARADERO;Privado;Urbano;9; ; ; ; ;71; ; ; ; ; ; ; ; ;606; ; ; ; ; ; ; ; ;747; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2; ; ;0; ; ; ;1; ;4;1;1; ;3;1;2; ; ;2;4;2; ;3;3; ; ;6; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;13; ; ; ; ; ; ; ; ; ; ; ; ; ;165; ; ; ; ; ; ; ; ;151; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;219;501;19;456; ;5;5;3; ; ;0; ; ; ;1; ;5;1;1; ;5;1; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; 
