provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Catamarca;LA PAZ;Estatal;Rural;4;0;54;0;5;0; ; ;0;22;0;185;6;6;1;33;0;13;12;5;38;1;9;8;0; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;2315;146;2;0;0;600;0;0;0;0;0;0;0;0;0;0
Catamarca;LA PAZ;Estatal;Urbano;5;0;30;0;10;0; ; ;0;19;2;162;11;12;9; ; ;0;20;4;15;2;13;17;1;4;2; ; ;1;1;0; ; ; ;0;0;0;0;0;3275;131;0;0;70;1200;0;0;0;0;0;0;0;0;0;0
Catamarca;PACLIN;Estatal;Rural;3;0;30;0;4;0; ; ;0;11;0;100;1;3;0;6;0;5;6;4; ; ;23;3;0;1;1; ; ;0;1;0; ; ; ;0;0;0;0;0;1891;110;0;0;0;1093;0;0;0;0;0;0;0;0;0;0
Catamarca;POMAN;Estatal;Rural; ; ;20;0; ; ; ; ;0;15;0;135;2;10;0;9;0;4;7;4; ; ;4;6;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;1741;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Catamarca;POMAN;Estatal;Urbano;12;0;46;0;14;0; ; ;2;8;1;67;0;8;1; ; ;1;13;1;0;0;16;10;0;4;5; ; ;1;3;0; ; ; ;0;0;0;0;0;1455;278;0;0;0;1728;0;100;0;0;0;0;0;0;0;0
Catamarca;SANTA MARIA;Estatal;Rural; ; ;27;0; ; ; ; ;0;19;0;147;3;2;1;18;0;1;10;4;14;1;11;6;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;3144;87;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Catamarca;SANTA MARIA;Estatal;Urbano;12;0;53;2;13;0; ; ;3;30;1;215;14;16;3; ; ;0;23;7;2;0;26;37;10;5;3; ; ;12;3;3; ; ; ;0;0;0;0;0;3057;77;143;0;0;1544;71;22;0;0;12;0;12;173;0;0
Catamarca;SANTA ROSA;Estatal;Rural; ; ;4;0; ; ; ; ;0;17;0;154;3;3;3;14;0;2;16;5;5;2;26;1;0;4;0; ; ;1;0;2; ; ; ;0;0;0;0;0;2128;111;0;0;0;775;68;0;0;12;0;12;0;10;0;0
Catamarca;SANTA ROSA;Estatal;Urbano;2;1;13;0;2;0; ; ;0;9;0;61;2;2;7; ; ;0;4;6;0;1;6;11;0; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;595;24;12;0;0;380;50;0;0;0;0;0;0;0;0;0
Catamarca;Sin datos;Estatal;Rural; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0
