provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;SAN FERNANDO;Privado;Urbano;67; ; ; ; ;1744; ; ; ; ; ; ; ;6393; ; ; ; ; ; ; ;5401; ; ; ; ; ; ; ;491; ; ; ; ; ; ; ; ;4;1; ;1;1;1; ;6;4;1;2; ;3;1;3;2; ;2;7;1;11;9;6;4;2;6; ;3;1; ;4;11;2;8;17;15;6;3;6; ; ;4; ;13;23; ; ;1; ; ; ;590;571;303;294; ;29;18;18;1;1;173;2024;353;919;27;1;25;28;18;1;12;16;19;1;7;14;10;20;11;31;66;56;22;25;9; ; ; 
Buenos Aires;SAN ISIDRO;Estatal;Urbano;95; ; ; ; ;1404; ; ; ; ; ; ; ;5034; ; ; ; ; ; ; ;11373;300; ;305; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2; ;2;5; ;32; ;2; ; ;13; ; ;4;1;52;64;3;73;3;3; ; ;33;5;5;7;1;106;143;12;67;22;10;2;5;8;1;1;8; ;18;15; ;1;1;2; ; ;7582;2530;4674;8127;133;26;27;29;2;111;123;5647;1635;125;27; ;27;27;23; ;23;31;30;2;27;27;39;18;41;103;17;25;130;25;32; ; ;2
Buenos Aires;SAN ISIDRO;Privado;Urbano;185; ; ; ; ;2909;87; ; ;450; ;80; ;11867;205; ; ;309; ;548; ;15192; ; ; ; ; ;1134; ;433;62;111; ; ; ;90; ;2;6;6;6;1; ;7;4;8;15;13;3;7;3;13;5;5;3;11;15;8;36;33;53;8;2;3;18;7;6;2;19;43;8;21;42;77;4;5;17;2;2;4; ;14;25;3;5; ;2; ; ;838;1028; ;814;1;61;54;54;11; ;1543;3070;2001;2023;61; ;37;63;45; ;19;43;46; ;9;45;17;64;28;60;179;34;42;102;50; ;1; 
Buenos Aires;SAN MIGUEL;Estatal;Urbano;126; ; ;3; ; ; ; ; ; ; ; ; ;10356; ; ; ; ; ; ; ;18715; ; ; ; ; ;439; ;1017; ; ; ; ;73; ; ;2;4; ;2;1;19; ; ;35;2; ; ; ;22;1; ;7; ;168;14;6;83;2;3; ; ;58;3;5;11; ;378;40;3;64;11;7; ;2;3;3;4; ;1;18;12;11;9; ;1; ;1;12519;9932;5786;10207; ;31;36;38;6;197;1602;7379;33; ;31;1;31;33;36;1;38;36;44;1;43;44;24;11;85;206;48;135;98;28;33;3; ;8
Buenos Aires;SAN MIGUEL;Privado;Urbano;145; ; ; ; ;2424; ; ;138; ; ; ; ;11444; ;85; ; ; ;315; ;11192; ; ; ; ; ;922; ;403; ;9; ; ; ;43; ; ;1; ;2;1;5;2;2;12;3;1; ; ;3;2;2;7;1;17;5;3;48;8;5; ;1;11;4;5;8; ;62;33;3;28;15;20;1;2;3;1;3;2; ;11;4;1;3;2; ; ; ;34; ; ; ; ;41;50;46;6;2;940;3746;309;1181;45;1;42;44;43; ;36;41;48; ;19;43;5;18;62;50;82;114;49;49;39; ; ; 
Buenos Aires;SAN NICOLAS;Estatal;Rural;6; ;10; ; ; ; ; ; ; ; ; ; ;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;102;87; ;52; ;1;2; ; ; ;0; ;38; ;2; ;1;2;3; ; ;4; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; 
Buenos Aires;SAN NICOLAS;Estatal;Urbano;104; ; ;8; ; ; ; ; ; ; ; ; ;4972; ; ; ; ; ;860; ;8879; ; ; ; ; ;518; ;554; ;45; ; ; ; ; ;1;1; ;2; ; ; ; ;8; ;1; ; ;5;1; ;3; ;7;1; ;21;7;3;1; ;2; ; ;3;1;4; ; ;8;7;4; ;3; ;2; ;3; ;2; ; ;10;4;2; ; ;7621;4774;125;8514; ;25;35;25;6;163;187;3647;494;860;27; ;27;27;26; ;30;31;31; ;19;32;21;10;22;239;25;61;157;3;20;2;1;7
Buenos Aires;SAN NICOLAS;Privado;Urbano;57; ; ; ; ;1369; ; ; ; ; ; ; ;3481;92; ; ; ; ;363; ;4847; ; ; ; ; ; ; ;263; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ;4; ; ; ; ; ;10;5;2; ; ;2;1; ; ; ; ; ; ;10;3;5; ;2; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;19;15;16;4; ;32;1178; ;200;16; ;18;16;12; ;13;11;16; ;2;16;3;25;24;25;30;48;19;20;14; ; ; 
Buenos Aires;SAN PEDRO;Estatal;Rural;40; ;5; ; ; ; ; ; ; ; ; ; ;694; ; ; ; ; ; ; ;401; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;1;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;699;484;185;1460; ;10;21;2; ;13;13;253;26; ;4; ;12;4;4;1;22;5;3; ;1;3;3;1; ;29;5;1;2; ; ; ; ; 
Buenos Aires;SAN PEDRO;Estatal;Urbano;47; ;1;10; ; ; ; ; ; ; ; ; ;2840; ; ; ; ; ; ; ;5513; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;4; ; ;4; ; ; ; ; ; ; ; ; ;2; ; ;4;1; ; ; ; ; ; ; ; ;4;2; ;3; ; ; ; ;4158;1159;1163;4307;272;13;15;13;3;131;677;2151; ; ;10; ;13;10;15; ;15;15;14;1;15;13;17;4;10;97;6; ;42; ;1; ; ;1
