anio,provincia,departamento,sector,ambito,localizacion,electricidadsi,electricidadredpública,electricidadgrupoelectrógeno,electricidadpanelfotovoltaicosolar,electricidadgeneradoreólico,electricidadgeneradorhidráulico,electricidadotro,equipamientoestablecimientotelevisor,equipamientoestablecimientosistemamultimediaocañón,equipamientoestablecimientoscanner,equipamientoestablecimientowebcam,equipamientoestablecimientoreproductordecd,equipamientoestablecimientoreproductordedvd,equipamientoestablecimientoimpresora,equipamientoestablecimientoequipoemisorderadioamfm,equipamientoestablecimientoequiporeceptorderadioamfm,equipamientoestablecimientoservidorparausoescolar,equipamientoestablecimientoimpresora3d,equipamientoestablecimientoequipodesonido,equipamientoestablecimientopizarrasdigitales,equipamientobibliotecatelevisor,equipamientobibliotecasistemamultimediaocañón,equipamientobibliotecascanner,equipamientobibliotecaequipamientobibliotecawebcam,equipamientobibliotecareproductordecd,equipamientobibliotecareproductordedvd,equipamientobibliotecaimpresora,equipamientobibliotecaequipoemisorderadioamfm,equipamientobibliotecaequiporeceptorderadioamfm,equipamientobibliotecaservidorparausoescolar,internettipodeserviciogratuito,internettipodeserviciopago,internettipodeconexióntelefónica,internettipodeconexiónadsl,internettipodeconexióncablemódem,internettipodeconexiónsatelital,internettipodeconexiónotrotipo,internettipodeconexiónmóvil,espaciosconconexióneneláreadeadministración,espaciosconconexiónenlasaulas,espaciosconconexiónenlabibliotecas,espaciosconconexiónenotroespaciodelestablecimiento,espaciosconconexiónenellaboratorio,cooperadoraconpersoneríajurídica,cooperadorasinpersoneríajurídica,cooperadorano,sistemadegestiónescolarsi,sistemadegestiónescolarprovistoporelministerio,sistemadegestiónescolardesarrolladoporterceros,sistemadegestiónescolarencargadoporelestablecimiento,sistemadegestiónescolarplanilladecalculo,disponedesalaolaboratoriodeinformáticasi,laboratoriofuncionaesespacioexclusivosi,bibliotecadisponedealmenosunasi,bibliotecafuncionaesespacioexclusivosi,subvenciónestataljardínmaternalsi,subvenciónestataljardíndeinfantessi,subvenciónestatalprimariasi,subvenciónestatalsecundariasi,subvenciónestatalsnusi
2011,Buenos Aires,25 DE MAYO,Estatal,Rural,50,46,41, , ,1, ,4,37,8,4, ,18,5,1, , , , , , , , , , , , , , , , ,4,4,1,2, ,5, , , , , , , , , , , , , , , ,9, , , , , , , , 
2011,Buenos Aires,25 DE MAYO,Estatal,Urbano,41,29,29, , , , , ,24,3,2,2,13,6,2, , , , , , , , , , , , , , , , ,10,4,8, ,3,2, , , , , , , , , , , , , , , ,11, , , , , , , , 
2011,Buenos Aires,25 DE MAYO,Privado,Urbano,12,5,5, , , , , ,7, ,2,1,6,2, , , , , , , , , , , , , , , , , , ,5,2, ,2,1, , , , , , , , , , , , , , , ,5, , , , ,2,2,3, 
2011,Buenos Aires,9 DE JULIO,Estatal,Rural,57,46,44, , , , ,2,37,6,3,1,17,4, , , , , , , , , , , , , , , , , ,4,4,8, , ,1, , , , , , , , , , , , , , , ,12, , , , , , , , 
2011,Buenos Aires,9 DE JULIO,Estatal,Urbano,42,32,31,1, , , , ,32,2,5,4,16,9,1, , , , , , , , , , , , , , , , ,9,4,11,2,1, , , , , , , , , , , , , , , , ,11, , , , , , , , 
2011,Buenos Aires,9 DE JULIO,Privado,Urbano,5,4,4, , , , , ,4,2,3, ,3,2,1, , , , , , , , , , , , , , , , , ,5, ,3, ,2, , , , , , , , , , , , , , , ,4, , , , ,2,2,2, 
2011,Buenos Aires,ADOLFO ALSINA,Estatal,Rural,32,31,28,1,1, , ,1,27,7,4, ,14,5,18, , , , , , , , , , , , , , , , ,3,5,6, , ,3, , , , , , , , , , , , , , , ,6, , , , , , , , 
2011,Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,17,15,15, , , , , ,12,2,3, ,9,9,11, , , , , , , , , , , , , , , , ,8,3,7, ,2,1,1, , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,ADOLFO ALSINA,Privado,Urbano,5,4,4, , , , , ,5,3,1, ,5,3,2, , , , , , , , , , , , , , , , ,1,4, , ,2,3, , , , , , , , , , , , , , , ,4, , , ,1,2,2,2,1
2011,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,25,24,23, , , , ,1,19,2,2,1,9,9,9, , , , , , , , , , , , , , , , ,2,3,2, ,2,1, , , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,12,11,11, , , , , ,9,1,3,1,10,8,9, , , , , , , , , , , , , , , , ,9,1,1, ,4,2,3, , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,ALBERTI,Estatal,Rural,19,18,18, , , , , ,16,1,2,1,8,8,10, , , , , , , , , , , , , , , , ,3,2,1, ,1,3, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,ALBERTI,Estatal,Urbano,11,11,11, , , , , ,9,1,5, ,8,9,7, , , , , , , , , , , , , , , , ,6,1,3, ,1,2,1, , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,ALMIRANTE BROWN,Estatal,Urbano,232,217,216, , , , ,2,172,26,35,23,128,143,132, , , , , , , , , , , , , , , , ,40,4,22,6,9,7, , , , , , , , , , , , , , , ,58, , , , , , , , 
2011,Buenos Aires,ALMIRANTE BROWN,Privado,Urbano,184,153,153,1, , , , ,145,39,50,8,135,138,128, , , , , , , , , , , , , , , , ,5,105,38,33,29,1,5, , , , , , , , , , , , , , ,104, , , ,6,48,45,48,2
2011,Buenos Aires,ARRECIFES,Estatal,Rural,14,13,13, , , , , ,12, , , ,5,6,6, , , , , , , , , , , , , , , , ,5, ,3,1,1, , , , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,ARRECIFES,Estatal,Urbano,35,33,33, , , , , ,24,6,2,1,20,18,19, , , , , , , , , , , , , , , , ,9,6,10,1,1,2,1, , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,AVELLANEDA,Estatal,Urbano,200,188,187,1,1,1,1,2,168,26,36,15,125,122,123, , , , , , , , , , , , , , , , ,43,16,39,9,9,2, , , , , , , , , , , , , , , ,57, , , , , , , , 
2011,Buenos Aires,AVELLANEDA,Privado,Urbano,116,100,100, , , , , ,97,41,55,19,92,87,88, , , , , , , , , , , , , , , , ,1,87,18,34,32,1, , , , , , , , , , , , , , , ,83, , , ,11,29,25,28,3
2011,Buenos Aires,AYACUCHO,Estatal,Rural,38,29,15,6,7,1, ,1,27, , , ,13,7,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2011,Buenos Aires,AYACUCHO,Estatal,Urbano,23,20,20, , , , , ,19,5,6, ,17,13,14, , , , , , , , , , , , , , , , ,9,2,8, ,1,2, , , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,AZUL,Estatal,Rural,45,37,22,6,7,5, , ,37,3,5,1,20,14,19, , , , , , , , , , , , , , , , ,24,4, , ,6,22,1, , , , , , , , , , , , , , ,8, , , , , , , , 
2011,Buenos Aires,AZUL,Estatal,Urbano,63,53,51,2, ,1, , ,47,7,12,3,37,28,35, , , , , , , , , , , , , , , , ,38,1,13,5,9,3,7, , , , , , , , , , , , , , ,22, , , , , , , , 
2011,Buenos Aires,AZUL,Privado,Urbano,27,22,22, , , , , ,22,4,4, ,22,18,18, , , , , , , , , , , , , , , , ,5,11,4,2,6,2,2, , , , , , , , , , , , , , ,9, , , ,2,5,7,7, 
2011,Buenos Aires,BAHIA BLANCA,Estatal,Rural,9,9,9, , , , , ,9, ,1, ,6,5,6, , , , , , , , , , , , , , , , ,3, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
2011,Buenos Aires,BAHIA BLANCA,Estatal,Urbano,207,172,171, , , , ,1,169,30,29,13,143,119,150, , , , , , , , , , , , , , , , ,77,18,76,6,13,1, , , , , , , , , , , , , , , ,47, , , , , , , , 
2011,Buenos Aires,BAHIA BLANCA,Privado,Urbano,82,55,55,1, , , , ,71,39,31,17,66,63,58, , , , , , , , , , , , , , , , ,5,57,16,9,33,4,1, , , , , , , , , , , , , , ,51, , , ,11,23,16,19,5
2011,Buenos Aires,BALCARCE,Estatal,Rural,37,33,30,1,3, , , ,30,2,6,1,20,12,25, , , , , , , , , , , , , , , , ,10,1, , ,1,10, , , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,BALCARCE,Estatal,Urbano,43,29,28, ,1, , , ,32,7,7,5,29,21,31, , , , , , , , , , , , , , , , ,18,1,6, ,11,2, , , , , , , , , , , , , , , ,12, , , , , , , , 
2011,Buenos Aires,BALCARCE,Privado,Rural,5,5,5,2, , , , ,5,2,3,2,5,4,2, , , , , , , , , , , , , , , , , ,4,1,2, , ,1, , , , , , , , , , , , , , ,4, , , , ,2,1,2, 
2011,Buenos Aires,BALCARCE,Privado,Urbano,4,4,4, , , , , ,4,2,2, ,4,4,4, , , , , , , , , , , , , , , , , ,3,1, ,3, , , , , , , , , , , , , , , , ,3, , , , ,3,3,2, 
2011,Buenos Aires,BARADERO,Estatal,Rural,26,22,19,3,1, , , ,18,2,2, ,8,10,10, , , , , , , , , , , , , , , , ,1, ,1, , ,1, , , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,BARADERO,Estatal,Urbano,37,28,28, , , , , ,25,4,5,3,20,16,15, , , , , , , , , , , , , , , , , ,7,2,1,3,1, , , , , , , , , , , , , , , ,6, , , , , , , , 
2011,Buenos Aires,BARADERO,Privado,Urbano,8,8,8, , , , , ,5,5, ,1,8,5,6, , , , , , , , , , , , , , , , , ,6,2,4, , , , , , , , , , , , , , , , , ,6, , , ,1,2,2,2, 
2011,Buenos Aires,BENITO JUAREZ,Estatal,Rural,12,10,8, ,2,1, , ,9, , , ,5,4,7, , , , , , , , , , , , , , , , ,5,3,2, , ,6, , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,BENITO JUAREZ,Estatal,Urbano,18,15,14, ,1,1, , ,16,4,2, ,12,12,14, , , , , , , , , , , , , , , , ,7,4,6, ,1,2,1, , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,BERAZATEGUI,Estatal,Urbano,181,157,157, , , , , ,142,20,23,5,106,104,102, , , , , , , , , , , , , , , , ,56,8,56,1,4,2,2, , , , , , , , , , , , , , ,33, , , , , , , , 
2011,Buenos Aires,BERAZATEGUI,Privado,Urbano,108,74,74, , , , , ,86,23,35,14,75,69,65, , , , , , , , , , , , , , , , ,3,64,27,15,17,3,1, , , , , , , , , , , , , , ,66, , , ,3,27,25,29,3
2011,Buenos Aires,BERISSO,Estatal,Urbano,60,59,59, , , , , ,50,8,10,4,29,36,37, , , , , , , , , , , , , , , , ,9,2,9,1, ,1, , , , , , , , , , , , , , , ,14, , , , , , , , 
2011,Buenos Aires,BERISSO,Privado,Urbano,20,19,19, , , , , ,18,6,4,1,17,15,15, , , , , , , , , , , , , , , , , ,13,11,1,1, , , , , , , , , , , , , , , , ,10, , , , ,8,7,6,1
2011,Buenos Aires,BOLIVAR,Estatal,Rural,41,33,33, , , , , ,31,3,5,1,18,8,16, , , , , , , , , , , , , , , , ,3, ,2, , ,1, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,BOLIVAR,Estatal,Urbano,39,34,34, , , , , ,27,3,5, ,17,20,18, , , , , , , , , , , , , , , , ,8,1,6,2, ,1, , , , , , , , , , , , , , , ,6, , , , , , , , 
2011,Buenos Aires,BOLIVAR,Privado,Urbano,7,6,6, , , , , ,7,3,2,2,7,7,6, , , , , , , , , , , , , , , , , ,6,6, , , , , , , , , , , , , , , , , , ,7, , , ,1,2,2,2,1
2011,Buenos Aires,BRAGADO,Estatal,Rural,28,26,26, , , , , ,25,3, , ,13,13,13, , , , , , , , , , , , , , , , ,2,2,3, ,1, , , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,BRAGADO,Estatal,Urbano,30,29,29, , , , , ,30,13,11,5,21,21,25, , , , , , , , , , , , , , , , ,8,8,11,2, ,2, , , , , , , , , , , , , , , ,12, , , , , , , , 
2011,Buenos Aires,BRAGADO,Privado,Urbano,5,5,5, , , , , ,5,5,4,1,5,4,3, , , , , , , , , , , , , , , , , ,4,1, ,3, , , , , , , , , , , , , , , , ,4, , , , ,1,1,3, 
2011,Buenos Aires,BRANDSEN,Estatal,Rural,27,22,21, , , , ,1,16,1,2, ,8,7,9, , , , , , , , , , , , , , , , ,6, ,1, , ,5, , , , , , , , , , , , , , , ,1, , , , , , , , 
2011,Buenos Aires,BRANDSEN,Estatal,Urbano,24,19,19, , , , , ,16,4,3,2,11,8,12, , , , , , , , , , , , , , , , ,3,2,2, ,2,1, , , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,BRANDSEN,Privado,Urbano,7,7,7, , , , , ,6, , , ,5,5,4, , , , , , , , , , , , , , , , , ,4,1,1,2, , , , , , , , , , , , , , , , ,3, , , , ,2,3,2, 
2011,Buenos Aires,CAMPANA,Estatal,Rural,19,14,13, , , , ,1,14, ,4,1,10,11,9, , , , , , , , , , , , , , , , ,6, ,1, ,2,3, , , , , , , , , , , , , , , ,6, , , , , , , , 
2011,Buenos Aires,CAMPANA,Estatal,Urbano,76,60,60, , , , , ,52,6,8,3,38,30,41, , , , , , , , , , , , , , , , ,5,11,5,3,9, , , , , , , , , , , , , , , , ,11, , , , , , , , 
2011,Buenos Aires,CAMPANA,Privado,Urbano,26,15,15, , , , , ,18,7,7, ,19,18,17, , , , , , , , , , , , , , , , , ,18,7,5,6, , , , , , , , , , , , , , , , ,10, , , ,2,5,4,5, 
2011,Buenos Aires,CAÑUELAS,Estatal,Rural,23,20,17, , , , ,3,16,1,1, ,7,6,10, , , , , , , , , , , , , , , , ,1,1, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , 
2011,Buenos Aires,CAÑUELAS,Estatal,Urbano,48,45,45, , , , , ,33,6,8,3,28,29,28, , , , , , , , , , , , , , , , ,4,3,3,1, ,3, , , , , , , , , , , , , , , ,14, , , , , , , , 
2011,Buenos Aires,CAÑUELAS,Privado,Urbano,14,13,13, , , , , ,12,8,8,4,11,10,8, , , , , , , , , , , , , , , , , ,10,2,1,6,1, , , , , , , , , , , , , , , ,12, , , , ,1,1,1, 
2011,Buenos Aires,CAPITAN SARMIENTO,Estatal,Rural,9,7,6, , , , ,1,6,1,1, ,6,3,2, , , , , , , , , , , , , , , , ,2, , , , ,2, , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,CAPITAN SARMIENTO,Estatal,Urbano,17,16,16, , , , , ,14,6,4,1,14,12,11, , , , , , , , , , , , , , , , ,7,2,3, ,5, , , , , , , , , , , , , , , , ,8, , , , , , , , 
2011,Buenos Aires,CARLOS CASARES,Estatal,Rural,33,30,30, , , , , ,24,2,1,1,16,12,16, , , , , , , , , , , , , , , , ,6, , , ,2,3, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,CARLOS CASARES,Estatal,Urbano,22,19,19, , , , , ,17,6,9,3,13,10,14, , , , , , , , , , , , , , , , ,4,7,5, ,3, ,2, , , , , , , , , , , , , , ,8, , , , , , , , 
2011,Buenos Aires,CARLOS TEJEDOR,Estatal,Rural,30,25,25, , , , , ,21,2,6,1,13,9,13, , , , , , , , , , , , , , , , ,4,2, , ,2,4, , , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,CARLOS TEJEDOR,Estatal,Urbano,16,14,14, , , , , ,12,5,4, ,9,6,10, , , , , , , , , , , , , , , , ,4,7,2, ,3,5, , , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,CARMEN DE ARECO,Estatal,Rural,16,13,13, , , , , ,11,1,3,2,7,5,6, , , , , , , , , , , , , , , , ,3, , , ,2,1, , , , , , , , , , , , , , , ,1, , , , , , , , 
2011,Buenos Aires,CARMEN DE ARECO,Estatal,Urbano,25,22,22, , , , , ,19,2,3,2,15,10,8, , , , , , , , , , , , , , , , ,3,1,2, , ,2, , , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,CASTELLI,Estatal,Rural,19,16,14, ,1, , ,1,12, , , ,9,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2011,Buenos Aires,CHACABUCO,Estatal,Rural,32,30,30, , , , , ,24,4,6,1,12,8,11, , , , , , , , , , , , , , , , ,4,2, , ,1,4,1, , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,CHACABUCO,Estatal,Urbano,51,41,41, , , , , ,39,5,3,3,30,23,27, , , , , , , , , , , , , , , , ,10,7,7,2,5,1,1, , , , , , , , , , , , , , ,16, , , , , , , , 
2011,Buenos Aires,CHACABUCO,Privado,Urbano,9,8,8, , , , , ,7,1,2, ,8,8,6, , , , , , , , , , , , , , , , , ,5,2, ,1, , , , , , , , , , , , , , , , ,2, , , ,3,3,1,2, 
2011,Buenos Aires,CHASCOMUS,Estatal,Rural,16,9,8, , , , ,1,10, , , ,4,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2011,Buenos Aires,CHASCOMUS,Estatal,Urbano,72,60,55,4,1, , ,1,56,7,8,5,30,23,26, , , , , , , , , , , , , , , , ,12,7,10,3,3,1,1, , , , , , , , , , , , , , ,15, , , , , , , , 
2011,Buenos Aires,CHASCOMUS,Privado,Urbano,12,11,11, , , , , ,11,6,3, ,9,9,8, , , , , , , , , , , , , , , , , ,7,2,1,3,1, , , , , , , , , , , , , , , ,5, , , , ,5,4,4, 
2011,Buenos Aires,CHIVILCOY,Estatal,Rural,37,35,30, ,1, , ,4,32,2,1, ,17,12,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,CHIVILCOY,Estatal,Urbano,62,58,58, , , , , ,46,11,6, ,35,27,32, , , , , , , , , , , , , , , , ,20,1,16,1,4, , , , , , , , , , , , , , , , ,16, , , , , , , , 
2011,Buenos Aires,CHIVILCOY,Privado,Urbano,19,13,13, , , , , ,14,4,9,2,15,11,10, , , , , , , , , , , , , , , , , ,12,4,1,3,4, , , , , , , , , , , , , , , ,10, , , ,2,4,4,4,2
2011,Buenos Aires,COLON,Estatal,Rural,11,10,10, , , , , ,10,5,1, ,7,3,7, , , , , , , , , , , , , , , , ,1,1,1, , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,COLON,Estatal,Urbano,22,21,21, , , , , ,17,8,8,2,13,13,14, , , , , , , , , , , , , , , , ,12, ,5, ,4,1, , , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,COLON,Privado,Urbano,8,8,8, , , , , ,8,3,5,2,7,7,5, , , , , , , , , , , , , , , , ,1,5,3, ,2, , , , , , , , , , , , , , , , ,6, , , , ,3,3,3, 
2011,Buenos Aires,CORONEL DE MARINA L ROSALES,Estatal,Rural,20,18,17, , , , ,1,15,1,1, ,12,8,10, , , , , , , , , , , , , , , , ,4, ,2, , ,2, , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,CORONEL DE MARINA L ROSALES,Estatal,Urbano,49,45,44,1, , , , ,42,7,10,4,31,26,36, , , , , , , , , , , , , , , , ,15,3,5, ,13, , , , , , , , , , , , , , , , ,13, , , , , , , , 
2011,Buenos Aires,CORONEL DE MARINA L ROSALES,Privado,Urbano,9,8,8, , , , , ,9,2,1, ,7,7,7, , , , , , , , , , , , , , , , ,2,3,2, ,2, ,1, , , , , , , , , , , , , , ,8, , , , ,3,3,3, 
2011,Buenos Aires,CORONEL DORREGO,Estatal,Rural,28,26,23, ,2, ,1, ,25,3,9, ,18,10,18, , , , , , , , , , , , , , , , ,2,4, , ,2,4, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,CORONEL DORREGO,Estatal,Urbano,17,15,14, ,1, , , ,12,4,4, ,12,7,10, , , , , , , , , , , , , , , , ,8,1,8, ,1, , , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,CORONEL DORREGO,Privado,Urbano,4,4,4, , , , , ,4, ,4, ,4,4,4, , , , , , , , , , , , , , , , , ,4,1, ,1,1, , , , , , , , , , , , , , , ,2, , , , ,2,2,2, 
2011,Buenos Aires,CORONEL PRINGLES,Estatal,Rural,25,21,13,1,5,2, , ,22,5,2, ,14,8,13, , , , , , , , , , , , , , , , , ,2, , , ,1,1, , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,CORONEL PRINGLES,Estatal,Urbano,30,26,24, ,1,1, , ,22,5,3, ,17,12,14, , , , , , , , , , , , , , , , ,6,2,6, ,2, , , , , , , , , , , , , , , , ,9, , , , , , , , 
2011,Buenos Aires,CORONEL SUAREZ,Estatal,Rural,35,29,27, ,1,1, , ,27,1,2, ,19,13,19, , , , , , , , , , , , , , , , ,3,1, ,1, ,2,2, , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,CORONEL SUAREZ,Estatal,Urbano,53,47,44, ,1,1, ,1,39,7,6,2,28,24,25, , , , , , , , , , , , , , , , ,18,4,16, ,5,3, , , , , , , , , , , , , , , ,10, , , , , , , , 
2011,Buenos Aires,CORONEL SUAREZ,Privado,Urbano,10,9,9, , , , , ,8,1,4, ,8,6,6, , , , , , , , , , , , , , , , , ,7,2,1,4, , , , , , , , , , , , , , , , ,5, , , ,2,4,3,5, 
2011,Buenos Aires,DAIREAUX,Estatal,Rural,29,28,22, ,2, , ,4,24, , , ,11,9,12, , , , , , , , , , , , , , , , ,3,1,1, ,2,1, , , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,DAIREAUX,Estatal,Urbano,15,15,13, ,1, , ,1,11,2,4,1,8,8,8, , , , , , , , , , , , , , , , ,3,1,3, ,1,1, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,DOLORES,Estatal,Rural,16,13,8, ,4,1, , ,11, , , ,2,1,3, , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , 
2011,Buenos Aires,DOLORES,Estatal,Urbano,23,17,17, , , , , ,20,4,3, ,14,14,16, , , , , , , , , , , , , , , , ,6,5,5,1,5, , , , , , , , , , , , , , , , ,9, , , , , , , , 
2011,Buenos Aires,Enmascarado,Estatal,Rural,19,15,15, , , , , ,13, ,2, ,7,5,4, , , , , , , , , , , , , , , , ,2, ,1, ,1, , , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,Enmascarado,Estatal,Urbano,15,11,11, , , , , ,12,2,3,1,9,6,5, , , , , , , , , , , , , , , , ,3,1,2, ,1, , , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,Enmascarado,Privado,Rural,70,60,58,1, , , ,2,57,14,26,5,50,40,30, , , , , , , , , , , , , , , , ,3,38,17,6,8,10, , , , , , , , , , , , , , , ,43, , , ,6,24,14,36, 
2011,Buenos Aires,Enmascarado,Privado,Urbano,113,98,98, , , , , ,102,32,43,13,95,79,61, , , , , , , , , , , , , , , , ,8,74,26,10,21,20,1, , , , , , , , , , , , , , ,68, , , ,2,33,33,39,7
2011,Buenos Aires,ENSENADA,Estatal,Urbano,44,37,37, , , , , ,27,4,5,2,22,22,21, , , , , , , , , , , , , , , , ,9,2,6,1,2,1, , , , , , , , , , , , , , , ,9, , , , , , , , 
2011,Buenos Aires,ENSENADA,Privado,Urbano,9,8,8, , , , , ,5,3,1, ,6,3,6, , , , , , , , , , , , , , , , ,1,3,2,1,1, , , , , , , , , , , , , , , , ,2, , , , ,3,3,3, 
2011,Buenos Aires,ESCOBAR,Estatal,Urbano,98,90,90, , , , , ,58,12,17,7,54,52,52, , , , , , , , , , , , , , , , ,9,9,9,3,2,4, , , , , , , , , , , , , , , ,26, , , , , , , , 
2011,Buenos Aires,ESCOBAR,Privado,Urbano,86,54,54, , , , , ,58,20,20,12,59,50,47, , , , , , , , , , , , , , , , ,2,52,15,24,10,3, , , , , , , , , , , , , , , ,51, , , , ,14,14,14, 
2011,Buenos Aires,ESTEBAN ECHEVERRIA,Estatal,Urbano,132,129,129, , , , , ,100,18,20,10,76,83,87, , , , , , , , , , , , , , , , ,37,6,36,1,5, , , , , , , , , , , , , , , , ,30, , , , , , , , 
2011,Buenos Aires,ESTEBAN ECHEVERRIA,Privado,Urbano,79,64,64, , , , , ,60,25,29,13,58,55,56, , , , , , , , , , , , , , , , ,3,45,16,9,19,2, , , , , , , , , , , , , , , ,50, , , ,2,19,15,12, 
2011,Buenos Aires,EXALTACION DE LA CRUZ,Estatal,Rural,22,22,21, , , , ,1,16, ,4,1,14,11,12, , , , , , , , , , , , , , , , ,8,3,1, ,4,6, , , , , , , , , , , , , , , ,3, , , , , , , , 
2011,Buenos Aires,EXALTACION DE LA CRUZ,Estatal,Urbano,20,20,20, , , , , ,17,1,6,1,12,13,12, , , , , , , , , , , , , , , , ,8,2, , ,10, , , , , , , , , , , , , , , , ,7, , , , , , , , 
2011,Buenos Aires,EZEIZA,Estatal,Urbano,79,77,77, , , , , ,54,10,10,2,43,40,47, , , , , , , , , , , , , , , , ,23,3,20,3,2,1, , , , , , , , , , , , , , , ,20, , , , , , , , 
2011,Buenos Aires,EZEIZA,Privado,Urbano,37,30,30, , , , , ,31,11,15,2,29,26,23, , , , , , , , , , , , , , , , , ,23,7,7,9, , , , , , , , , , , , , , , , ,19, , , , ,8,5,9,1
2011,Buenos Aires,FLORENCIO VARELA,Estatal,Rural,5,5,5, , , , , ,3, , , ,2,3,2, , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , ,1, , , , , , , , 
2011,Buenos Aires,FLORENCIO VARELA,Estatal,Urbano,193,171,171, , , , , ,129,21,39,15,106,106,103, , , , , , , , , , , , , , , , ,21,2,15,2,4,3, , , , , , , , , , , , , , , ,49, , , , , , , , 
2011,Buenos Aires,FLORENCIO VARELA,Privado,Urbano,86,68,68, , , , , ,64,23,33,12,60,58,57, , , , , , , , , , , , , , , , ,5,44,19,12,11,4,1, , , , , , , , , , , , , , ,55, , , ,1,30,27,24,2
2011,Buenos Aires,FLORENTINO AMEGHINO,Estatal,Rural,9,7,7, , , , , ,6,1,2,1,4,2,6, , , , , , , , , , , , , , , , ,2, , , , ,2, , , , , , , , , , , , , , , ,2, , , , , , , , 
2011,Buenos Aires,FLORENTINO AMEGHINO,Estatal,Urbano,14,12,12, , , , , ,10,3,4,2,7,7,10, , , , , , , , , , , , , , , , ,2,4, , ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , 
2011,Buenos Aires,GENERAL ALVARADO,Estatal,Rural,15,14,13, , , , ,1,13,1,2, ,7,9,10, , , , , , , , , , , , , , , , ,3, ,2, , ,1, , , , , , , , , , , , , , , ,4, , , , , , , , 
2011,Buenos Aires,GENERAL ALVARADO,Estatal,Urbano,32,25,25, , , , , ,25,5,8,1,18,17,20, , , , , , , , , , , , , , , , ,6,6,6,3,2,1, , , , , , , , , , , , , , , ,10, , , , , , , , 
2011,Buenos Aires,GENERAL ALVARADO,Privado,Urbano,15,14,14, , , , , ,14,6,5,1,13,11,12, , , , , , , , , , , , , , , , , ,12,1,2,6,2, , , , , , , , , , , , , , , ,11, , , , ,5,6,5, 
2011,Buenos Aires,GENERAL ALVEAR,Estatal,Rural,26,20,19, ,1, , , ,18,6,1,1,9,5,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
