provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;50;50;48; ;1; ; ;1;41;28;21;12;34;33;39;21; ;21; ; ; ;8;3;4;1;5;6;9;2; ;2;7;19;1;1;15;7;5; ;16;17;11;11; ;38;7;5;13;9;1; ;3;9; ;29;15; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44;44;44; ; ; ; ; ;29;21;19;3;37;24;29;15; ;19; ; ; ;10;4;2; ;8;7;5;2; ;6;11;18;2; ;25; ;3; ;27;10;11;11; ;20;7;17;18;13;2; ;3;12; ;31;20; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;10;10;10; ; ; ; ; ;8;5;2;1;9;8;10;2; ;3; ; ; ;2;2; ; ;2;2;2; ; ;1;1;9;3; ;6; ; ;1;10; ;2;1; ; ; ;10;9;8; ; ;1;6; ;8;5; ;2;2;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;53;52;52; ; ; ; ; ;46;27;20;9;38;37;36;18; ;17; ; ; ;5;1;2; ;4;3;6;3; ;2;8;10;1;3;8;3;2;1;15;7;5;6; ;33;9;8;9;8; ; ;1;10; ;33;19; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;39;39;39; ; ; ; ; ;33;22;15;4;29;27;31;17; ;18; ; ; ;10;6;2;1;9;8;9;3; ;6;12;17;6;5;16;4;3;1;26;9;12;8; ;23;8;6;13;10; ; ;3;14; ;34;23; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7;7;7; ; ; ; ; ;5;6;5;3;6;5;6;2; ;5; ; ; ;2;3;2; ;3;2;3; ; ;1; ;6; ;2;1;3;1; ;6;5;5;4; ;1; ;6;4;3;1; ; ;4; ;6;5; ;2;2;3; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;29;24;24; ; ; ; ; ;18;13;10;5;19;14;17;10; ;13; ; ; ;2;2;2; ;3;3;2;2; ; ;13;4;1;1;1;15; ; ;11;10;5;8; ;11;6;6;9;6;1; ;2;6; ;17;6; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19;19;19; ; ; ; ; ;16;10;3;4;11;10;19;4; ;11; ; ; ;4;3;1; ; ;1;6; ; ;3;8;10;3;1;10;2;3; ;17;10;8;9; ;7;12; ;14;13;1; ; ;8; ;13;9; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24;22;22; ; ; ; ; ;20;13;5;2;15;16;18;14; ;6; ; ; ;2;3; ;1;3;2;3;2; ;1;9;1;1;1;3;6;2; ;8;8;4;3; ;11;8;1;6;5; ; ;1;1; ;17;6; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13;12;12; ; ; ; ; ;11;10;6;1;11;11;11;8; ;8; ; ; ;5;3;2; ;3;3;3;2; ;2;9;1; ; ;6; ;4; ;10;4;6;5; ;5;5;1;5;4; ; ;1;3; ;11;8; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;18;16;16; ; ; ; ; ;12;8;7;4;12;11;13;7; ;5; ; ; ;1;2;1;1;2;1;2;1; ;1;4;7; ; ;8;3; ; ;9;6;2;1; ;5;8;3;14;13; ; ;1;5; ;8;5; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10;10;10; ; ; ; ; ;9;7;6;1;10;9;9;6; ;7; ; ; ;4;5;1; ;4;5;3;3; ;3;3;5;1;1;5; ; ;1;6;4;2;2; ;4;5;1;5;4; ; ;1;3; ;7;6; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;234;230;230; ; ; ; ; ;199;124;67;16;166;174;181;81; ;91; ; ; ;51;26;8; ;39;40;23;20; ;19;47;16;17;7;32; ;4;3;56;11;13;17; ;108;62;51;104;77; ;1;26;61; ;196;137; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;184;155;155;2; ; ; ; ;139;106;62;19;138;138;136;83; ;52; ; ; ;20;12;5;3;13;13;15;6; ;8;3;130;57;26;54;4;2;7;130;21;22;53; ;2; ;121;88;69;9;6;4;97; ;96;53; ;48;45;51;2
Buenos Aires;ARRECIFES;Estatal;Rural;14;14;14; ; ; ; ; ;10;5;4;3;8;6;11;6; ;4; ; ; ; ;2;1;1; ;1;2; ; ;1;2;2; ;1;1; ;2; ;3;3;2;2; ;6;7;1;7;2;1; ;4;3; ;7;2; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;31;31;31; ; ; ; ; ;25;14;7;3;22;22;22;11; ;13; ; ; ;11;4;1;1;5;5;5;2; ;7;7;12;4;4;5;3;5;1;18;5;8;9; ;7;17;7;17;14;1;1;1;7; ;23;16; ; ; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;189;172;172; ; ; ; ; ;157;96;70;27;137;141;156;76; ;73; ; ; ;43;19;7;6;24;29;16;8; ;13;73;27;26;10;60;1;7;6;97;27;23;23; ;102;43;12;62;45;3;3;11;51; ;153;97; ; ; ; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;117;98;98;1; ; ; ; ;89;74;67;30;93;90;95;45; ;41; ; ; ;14;12;9;4;16;17;13;6; ;9;3;91;21;15;63;3;2;3;91;31;24;57; ;1; ;86;41;22;11;5;3;75; ;65;36;4;27;26;29;3
Buenos Aires;AYACUCHO;Estatal;Rural;42;38;25;3;15; ; ; ;33;9;5;4;26;28;18;17; ;8; ; ; ;2;2; ; ;1; ;1;1; ; ;3; ; ; ;1;2; ; ;3;2;1;1; ;15;18;6;2;2; ; ; ;1; ;23;12; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;24;24;23; ; ; ; ;1;23;17;5;2;19;23;20;10; ;10; ; ; ;8;3;1; ;6;7;4;4; ; ;7;8;4;2;5;1;3; ;15;7;4;5; ;11;8;4;9;7; ; ;2;5; ;18;11; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Rural;47;45;30;5;14; ; ; ;35;26;22;10;32;28;32;22; ;15; ; ; ;1;1; ; ; ; ;1;1; ;1;16;1;1; ;4;12; ; ;10;11;2;2; ;14;13;16;4;3; ; ;1;4; ;32;5; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;61;58;57;1;1; ; ; ;48;33;21;12;42;38;41;33; ;31; ; ; ;6;4;2;2;6;7;5;5; ;7;44; ;6;6;22;4;9; ;40;13;13;12; ;30;17;9;22;16; ; ;6;17; ;49;33; ; ; ; ; 
Buenos Aires;AZUL;Privado;Urbano;23;22;22; ; ; ; ; ;19;19;10;10;22;20;19;14; ;7; ; ; ;5;1; ; ;2;2; ;1; ; ;7;13;7;4;10;2;1;1;17;12;8;13; ;3;3;13;9;7; ; ;2;6; ;10;7; ;4;7;7; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;6;6;4; ; ; ; ;2;6;4;3;3;6;4;6;3; ;2; ; ; ;2; ; ; ;1;1;1; ; ;1;2;1; ; ;1;1;1; ;2;2;1;2; ;4;2; ;2;2; ; ; ;1; ;3;2; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;202;202;202; ; ; ; ; ;184;137;73;25;172;170;183;109; ;92; ; ; ;67;31;15;9;54;56;47;28; ;29;39;88;14;9;96;8;4;4;122;34;50;37; ;116;48;36;108;92;6;2;8;49; ;167;123; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Privado;Urbano;81;78;78; ; ; ; ; ;70;61;48;36;74;72;74;43; ;41; ; ; ;15;11;8;10;18;18;18;5; ;9;2;71;12;8;46;2;6;3;73;30;27;43; ;1; ;71;49;35;8;5;1;42; ;65;41;2;22;15;19;4
Buenos Aires;BALCARCE;Estatal;Rural;36;35;34; ;1; ; ; ;30;7;9;3;28;25;26;12; ;12; ; ; ;2; ; ;1;2;1;1;1; ; ;13;1;2; ; ;12; ; ;9;7;3;1; ;21;8;4;20;18; ; ;2;3; ;19;6; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;45;43;42; ;1; ; ; ;36;24;18;4;36;34;37;21; ;22; ; ; ;6;3;2;1;5;7;7;2; ;7;30;2;8;1;24;1;4; ;30;12;11;8; ;25;8;11;37;30;1; ;6;11; ;33;17; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5;4;4;2; ; ; ; ;2;2;3;1;4;4;4; ; ;1; ; ; ;2;1; ; ;2;2;1; ; ;1; ;3; ;1; ;2; ; ;3;2;1;1; ; ; ;3;3;2;1; ; ;3; ;2;1;1;2;1;2; 
Buenos Aires;BALCARCE;Privado;Urbano;4;3;3; ; ; ; ; ;3;2;1;1;3;3;3; ; ;3; ; ; ;2;2; ; ; ;2; ; ; ;2;1;2; ; ;3; ; ; ;3;3;2;3; ;1; ;2;2;2; ; ; ;2; ;2;2; ;3;3;1; 
Buenos Aires;BARADERO;Estatal;Rural;25;23;20;3;3; ; ; ;22;15;9;5;15;18;19;12; ;8; ; ; ;4;3;1; ;3;4;4;2; ;2;4;2;1;1; ;2;2;1;4;5;3;2; ;10;10;3;5;4; ; ;1;7; ;14;8; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;38;34;32;2;2; ; ; ;27;14;10;1;21;25;22;15; ;11; ; ; ;3;2;1; ;4;4;5;2; ;2;3;10;3;6;4;1; ; ;13;1;8;1; ;12;9;11;14;9; ; ;5;7; ;27;18; ; ; ; ; 
Buenos Aires;BARADERO;Privado;Urbano;9;8;8; ; ; ; ; ;6;7;2;1;8;6;7;6; ;4; ; ; ;3;1; ; ;2;4;1;1; ;2; ;6;4;3;1; ; ; ;6;2;3;4; ; ; ;8;6;4; ;1;1;6; ;6;4; ;2;2;2; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;13;13;13;1; ; ; ; ;12;6;5;2;12;10;11;7; ;6; ; ; ;2;1; ;1;1; ;1;2; ; ;10;2; ;1;1;7;2;1;12;5;2;1; ;8;5; ;4;4; ; ; ;3; ;10;6; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;17;17;17; ; ; ; ; ;16;15;10;1;15;15;17;9; ;11; ; ; ;6;5;3; ;3;4;3;2; ;3;6;9; ; ;1;6;2;6;15;6;8;4; ;10;6;1;12;11; ; ;1;4; ;17;14; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Privado;Urbano;6;5;5; ; ; ; ; ;5;5;3;1;5;5;5;4; ;2; ; ; ;2;2; ;1;2;2;1;2; ;1; ;5;1; ;1;4; ; ;5;1;2;2; ; ;1;5;4;4; ; ; ;3; ;4;4; ;2;2;1;1
Buenos Aires;BERAZATEGUI;Estatal;Urbano;182;168;168;1; ; ; ; ;146;107;48;27;126;130;142;77; ;76; ; ; ;32;14;7;1;21;22;15;9; ;9;88;14;22;11;37;12;22;3;89;30;23;29; ;87;33;36;71;52;1;3;15;36; ;154;109; ; ; ; ; 
Buenos Aires;BERAZATEGUI;Privado;Urbano;106;87;87;2; ; ; ; ;78;64;56;24;85;80;81;40; ;38; ; ; ;16;12;6;4;18;14;18;8; ;9;4;74;38;12;31;4;4;5;76;22;25;45; ; ; ;69;47;33;9;4;1;65; ;57;37;1;27;25;25;3
Buenos Aires;BERISSO;Estatal;Urbano;57;57;57; ; ; ; ; ;50;26;11;7;41;45;42;26; ;17; ; ; ;22;7; ; ;16;21;10;8; ;3;7;5;4; ;4;1;2;1;12;2;3;4; ;44;4;9;17;12;1; ;4;13; ;53;37; ; ; ; ; 
