provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;25 DE MAYO;Estatal;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;298;57;19;30;17;21; ;1; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ;1;251;82;33;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;239;60;27;13;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Deambuladores; ;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Lactantes;38; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 2; ; ;262; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 3; ; ; ;371; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 4; ; ; ; ;351; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 5; ; ; ; ; ;354; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;1°; ; ; ; ; ; ;142;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;100;11;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;94;6;2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;5;1; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Privado;Urbano;2°; ; ; ; ; ; ; ;148;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;3°; ; ; ; ; ; ; ;1;142;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;4°; ; ; ; ; ; ; ; ; ;150;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;5°; ; ; ; ; ; ; ; ; ; ;135;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;6°; ; ; ; ; ; ; ; ; ; ;1;135;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;117;8; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ;6;121;13;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;4;93;10;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 3; ; ; ;128; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 4; ; ; ; ;125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;Sala de 5; ; ; ; ; ;138; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;1°; ; ; ; ; ; ;104; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;62;11;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;51;13;4;2; ; ; ; ; ; ; ; ; ; ; ;1; 
