provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;49; ; ; ; ; ; ; ; ; ; ; ; ;331; ; ; ; ; ; ; ;376; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;250;198; ;734; ;11;31;5; ;12;1;0; ; ;3; ;10;3;7; ;25;7;4; ;2;4;2; ; ;20; ; ;5; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43; ; ;1; ; ; ; ; ; ; ; ; ;1212; ; ; ; ; ; ; ;2182; ; ; ; ; ; ; ;14; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1802;538; ;1959; ;21;12;7;3;36;5;0;174; ;9; ;19;10;7; ;8;9;6; ;6;6;3;4;2;33;1;2;69;1; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;301; ; ; ; ; ; ; ;520; ; ; ; ; ; ; ;750; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;28;0; ; ; ; ;3; ;2; ;3;2;2; ;1;2; ;2;6;7; ; ;7; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ;416; ; ; ; ; ; ; ;559; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1127;612;244;1025;132;12;22;8; ;11;3;0;379;16;9; ;9;9;6; ;12;12;2; ;7;3;1; ;1;11; ;2;17; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;35; ; ; ; ; ; ; ; ; ; ; ; ;1894; ; ; ; ; ; ; ;2527; ; ; ; ; ; ; ;207; ; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ; ;1; ;5;1; ; ; ;1; ; ;2; ; ; ; ;5; ; ;1; ;8;1; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2734;544;32;3588;208;14;11;8;2;1;2;0;469; ;10; ;13;10;8; ;8;11;7; ;8;7;25;1;1;35; ;4;44; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7; ; ; ; ;191; ; ; ; ; ; ; ;566; ; ; ; ; ; ; ;849; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;0;0; ; ;2; ;1;2;3; ;1;3;3; ; ;3;3; ; ;8;3;1;6;1; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;27; ; ; ; ; ; ; ; ; ; ; ; ;134; ; ; ; ; ; ; ;221; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;351;125;4;308; ;9;12;3; ;1;0;0;35; ;6; ;6;5;6; ;7;6;3; ;1;3;2; ; ;6; ;1;4; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;18; ; ; ; ; ; ; ; ; ; ; ; ;513; ; ; ; ; ; ; ;1013; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ;5;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1120;545; ;924;235;4;7;7; ; ;0;0;205; ;3; ;4;3;4; ;5;6;6; ;4;6;7; ;1;21; ;5;17; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22; ; ; ; ; ; ; ; ; ; ; ; ;135; ; ; ; ; ; ; ;262; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;273;185;72;423;72;7;11;4; ;1;0;0; ; ;2; ;6;2;5; ;7;5;2; ;3;3;3; ; ;6; ; ;11; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14; ; ; ; ; ; ; ; ; ; ; ; ;422; ; ; ; ; ; ; ;329; ; ; ; ; ; ; ;40; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;763;205; ;636; ;4;4;4;1;34;3;0;102; ;4; ;4;4;3; ;2;4;4; ;1;3;3; ; ;9; ; ;11; ; ; ; ;1
Buenos Aires;ALBERTI;Estatal;Rural;17; ; ; ; ; ; ; ; ; ; ; ; ;146; ; ; ; ; ; ; ;202; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;418;178;120;316;75;5;8;2; ;19;1;0;28; ;3; ;3;3;3; ;6;4;2; ; ;2;1; ; ;1; ; ;1; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;9; ; ; ; ; ; ; ; ; ; ; ; ;352; ; ; ; ; ; ; ;678; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3; ; ; ; ; ;2; ;1;1; ; ; ;2;1;1; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;804;375;94;850;42;3;2;3; ; ;0;0;97; ;2; ;3;2;2; ;2;3;3; ;3;3;3; ; ;16; ; ;14; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;242; ; ;2; ; ; ; ; ; ; ; ; ;20796; ; ; ; ; ; ; ;32153; ; ; ; ; ;71; ;78;32; ;23; ; ; ; ;41;1;1;1; ;21;1; ;5; ; ; ; ;131;5; ;6;2;161;26;6;45;4;1; ; ;159;5;3;9; ;355;47;8;30;8;6;1;1;6; ;1; ; ;3;6;2; ; ; ; ; ;36059;21776;14564;30698; ;60;75;77;4;410;0;0;2287; ;63;1;63;63;73;2;74;82;85;1;84;85;158;25;139;537;93;97;281;73;39; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;175;1; ; ; ;3196; ; ; ; ; ; ; ;16742; ; ; ; ; ; ; ;12936; ; ; ; ; ;420; ;418; ; ; ; ; ; ; ;1; ; ;1;2;4; ;1;2;4; ; ; ;8;2;2;5; ;23;7;2;17;3; ;2; ;21;1;5;3; ;34;16;3;14;6;10;5; ;7; ; ; ;1;5;3; ; ; ; ; ; ;69; ;239;69; ;54;48;51;2;11;0;0;288;315;62; ;59;63;43;1;41;43;50; ;21;51;27;53;140;53;169;45;32;70;15; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;16; ; ; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ;183; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;191;130; ;291; ;4;10;2; ;1;0;0; ; ;2; ;3;2;3; ;7;3;1; ;1;1;1; ; ;5;1;3;8;1; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;29; ; ; ; ; ; ; ; ; ; ; ; ;1401; ; ; ; ; ; ; ;2609; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ; ; ; ; ;1;2; ; ; ;1;1; ; ; ;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2615;720; ;2460; ;12;9;7;1; ;8;0;94; ;7; ;9;9;6; ;8;7;5; ;5;6;4; ;2;42;7;24;27;1;4; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;185; ; ;2; ; ; ; ; ; ; ; ; ;12741; ; ; ; ; ; ; ;19030; ;230; ; ; ; ; ;640;18; ; ; ; ; ; ;4;1; ;3; ;11;8; ;69;3; ;2;3;41;4;1;12; ;91;42;8;247;23;7;1;3;54;7;4;7; ;271;85;15;159;20;16;2;6;30; ;13;16; ;44;26;6;3;17;2; ;12;22462;14311;5876;18577;139;67;53;37;10;73;0;0;2966;158;67; ;66;72;40; ;39;53;39;1;38;39;91;27;247;455;82;56;234;28;22;6;1;16
Buenos Aires;AVELLANEDA;Privado;Urbano;116; ; ; ; ;2322; ; ; ; ; ; ; ;11111; ; ; ; ; ; ; ;9833; ; ; ; ; ; ; ;313; ;59; ; ; ; ; ; ;2; ;1;1; ;1; ;23;3; ;2; ;3;2; ;4;5;15;3;1;45;1;2;3; ;6;1;1;4;3;20;7;2;40;5;10;2;1;19; ; ; ; ;24;9;2;1; ; ; ; ;221; ; ;182; ;37;36;34;5;32;0;0;567;530;36; ;37;34;29;2;22;31;28; ;16;28;16;50;54;84;161;52;28;75;11; ; ;1
Buenos Aires;AYACUCHO;Estatal;Rural;41; ; ; ; ; ; ; ; ; ; ; ; ;189; ; ; ; ; ; ; ;258; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;274;238; ;241; ;7;25;3; ; ;3;0; ; ;8;2; ;8;23;2;3;23;1;1;1;1;3; ; ;11; ; ;12; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;24; ; ; ; ; ; ; ; ; ; ; ; ;944; ; ; ; ; ; ; ;1949; ; ; ; ; ; ; ;63; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ;622;450;467;1649;22;8;6;8;2;1;0;0;56; ;4;1;6;4;4; ;4;5;6; ;6;5;10; ;3;23;2;48;18; ;1; ; ; 
Buenos Aires;AZUL;Estatal;Rural;44; ; ; ; ; ; ; ; ; ; ; ; ;149; ; ; ; ; ; ; ;171; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;249;163;75;299;75;9;24;3; ;4;0;0; ; ;6; ;6;5;8; ;20;7;3; ; ;4; ; ;1;4;1;1;2; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;60;2; ;2; ;71; ; ; ; ; ; ; ;2407; ; ; ; ; ; ; ;4426; ; ; ; ; ; ; ;97; ; ; ; ; ; ; ;2; ; ;1; ; ; ; ;2; ; ; ; ;2; ; ;1; ;2; ; ;8; ; ; ; ;7;1;1;2; ;7; ; ;1;1;2; ; ; ; ; ; ; ;1; ; ;2; ; ; ; ;2685;1338;50;3169; ;20;20;15;4;3;0;0;455; ;15; ;20;15;13; ;14;18;16; ;10;16;8;4;5;66;12;2;52;2;4;1; ;4
Buenos Aires;AZUL;Privado;Urbano;21; ; ; ; ;336; ; ; ; ; ; ; ;2037; ; ; ; ; ; ; ;1429; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;110; ; ;115; ;4;7;7;3; ;5;0; ; ;4; ;4;4;4; ;6;4;7; ;3;7;1;2;4;14;6;1;6;6;1; ; ; 
