provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;15;0;16;0;9;0;0;13;0;36;0;18;0;21;0;0;8;0;0;0;24;0;0; ; ; ; ; ; ; ;33;0;0;456;0;0;0;0;1033,5;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;20;0;98;0;54;0;8;0;14;25;0;100;0;46;0;1;0;0;32;1;0;0;78;0;0;9;3;0;0;10;0;0;113;0;0;813;3;0;0;0;4054,5;6;39;0;0;340,5;3;0;0;33;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3;0;15;0;5;0; ; ;4;7;0;30;0;33;0;0;0;0;7;0;0;0;10;0;0; ; ; ; ; ; ; ;47;0;6;165;0;36;0;0;987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;1;0;15;0;15;0;14;0;1;10;0;43;0;21;0;14;0;0;25;0;0;0;27;0;0; ; ; ; ; ; ; ;62;0;0;475,5;0;0;36;12;2259;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;0;73;0;43;0;4;0;0;29;0;149;0;46;0;0;0;1;26;0;0;0;111;0;0;14;0;84;2;11;4;0;165;0;0;1147,5;0;0;0;0;6793,5;180;48;0;0;1743,5;68;0;0;0;0;438;78;81;30;0
Buenos Aires;9 DE JULIO;Privado;Urbano;2;0;15;0;10;0;0;0;0;9;0;31;0;13;0;0;0;1;8;0;6;0;19;0;0; ; ; ; ; ; ; ;38;0;13;202,5;0;0;0;0;1240,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1;0;5;0;7;0;10;0;0;3;0;11;0;7;0;11;0;0;4;0; ; ;14;0;0; ; ; ; ; ; ; ;32;0;0;192;3;0;0;0;624;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;8;0;31;0;30;0;1;0;0;13;0;46;0;26;0;0;0;0;29;1;0;0;79;1;0; ; ; ; ; ; ; ;21;0;0;447;0;0;3;0;2550;9;28;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2;0;7;0;5;0;6;0;0;3;0;11;0;2;0;9;0;0;7;0;0;0;22;0;0; ; ; ; ; ; ; ;17;0;0;168;0;0;0;0;762;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;7;0;30;0;26;0;1;0;0;7;1;33;0;15;0;0;0;2;13;0;0;0;78;0;0;2;0;29;0;3;0;0;29;0;0;276;0;30;19,5;0;936;0;8;0;0;462;0;0;0;0;0;0;0;0;0;0
