provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngratuitaDesayuno;BeneficiariosdealimentacióngratuitaAlmuerzo;BeneficiariosdealimentacióngratuitaRefrigerio;BeneficiariosdealimentacióngratuitaMerienda;BeneficiariosdealimentacióngratuitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ;324; ; ; ; ; ; ; ;636;38; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ;1; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;493;487; ;1090;317;6;29;6; ; ;11; ; ; ;1; ;11;1;6; ;27;6;5; ;2;5; ; ; ;19; ;2;3; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44;3; ; ; ; ; ; ; ; ; ; ; ;1256; ; ; ; ; ; ; ;2024; ; ; ; ; ; ; ;73; ; ;19; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1337;555;55;2181; ;10;12;7;3;2;9; ;179; ;9; ;19;10;7; ;9;8;8; ;6;8;13;2;2;49;1;1;53;1; ; ; ;1
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;326; ; ; ; ; ; ; ;609; ; ; ; ; ; ; ;696; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;2; ; ; ; ; ;3; ;2; ;3;2;2; ;1;2;3; ; ;8; ; ;8; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;48; ; ; ; ; ; ; ; ; ; ; ; ;465; ; ; ; ; ; ; ;627; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;972;610;264;1049;115;5;20;7; ;2;7; ;396; ;10; ;8;10;5; ;12;12;2; ;6;3; ; ;1;12; ; ;7; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;37; ; ; ; ; ; ; ; ; ; ; ; ;1958; ; ; ; ; ; ; ;3168; ; ; ; ; ; ; ;195; ; ;7; ; ; ; ;3; ; ; ; ; ; ; ;2;1; ; ; ;5; ; ;1; ;6; ; ;1;1; ; ; ; ; ; ; ; ;4;1;3; ;2;1; ;2; ; ; ; ; ; ; ; ; ;2; ; ; ;3024;646;370;3313;147;9;12;8;2;1;27; ;482; ;10; ;13;10;8; ;9;11;7; ;9;7;3;2;5;47; ;3;30;4; ; ; ;1
Buenos Aires;9 DE JULIO;Privado;Urbano;7; ; ; ; ;179; ; ; ; ; ; ; ;311; ; ; ; ; ; ; ;874; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;0; ; ; ;2; ;1;2;3; ;1;3;3; ; ;3; ;1;1;5;3; ;7; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26; ; ; ; ; ; ; ; ; ; ; ; ;129; ; ; ; ; ; ; ;222; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;401;51;5;376; ;7;13;2; ; ;0; ;37; ;7; ;4;6;8; ;5;7;3; ;1;3; ; ; ;3; ;2;7; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19; ;1; ; ; ; ; ; ; ; ; ; ;448; ; ; ; ; ; ; ;1032; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;2; ; ; ;8;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1032;597; ;1214;224;5;7;7; ; ;0; ;197; ;3; ;5;3;4; ;5;6;6; ;5;6;9; ;1;19; ;1;15; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22;1; ; ; ; ; ; ; ; ; ; ; ;122; ; ; ; ; ; ; ;194; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;213;155; ;297; ;4;9;3; ; ;6; ; ; ;2; ;6;2;5; ;6;5;2; ;3;2; ; ; ;10; ; ;2; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14; ; ; ; ; ; ; ; ; ; ; ; ;275; ; ; ; ; ; ; ;341; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;580;77; ;654; ;1;3;4;1;1;3; ;23; ;4; ;4;4;3; ;2;3;4; ;1;4;4; ; ;2; ; ;7; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;17; ;13; ; ; ; ; ; ; ; ; ; ;124; ; ; ; ; ; ; ;206; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;3; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;408;192;116;330;96;5;7;2; ;2;6; ;24; ;2; ;4;2;3; ;6;4;2; ; ;2;2; ; ;4; ; ;2; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;10; ; ; ; ; ; ; ; ; ; ; ; ;352; ; ; ; ; ; ; ;589; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;2; ; ; ;1; ;1;1; ; ;3; ; ; ; ; ; ; ;1; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;749;253;188;826; ;4;2;3; ; ;0; ;73; ;2; ;4;2;2; ;2;3;3; ;3;3;6; ; ;15; ; ;8; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;234;221; ;2; ;1; ; ; ; ; ; ; ;19663; ; ; ; ; ; ; ;32103; ; ; ; ; ;52; ;310;80; ;62; ; ; ; ;22;1; ;4; ;19; ;1;19; ;1; ;3;170;3;2;6; ;218;29;8;43;12;6;2;9;243;6;7;8; ;529;54;11;18;19;8; ;2;11; ;2; ; ;11;12;2; ; ; ; ; ;29830;15214;14198;26350; ;56;79;74;2;406;354; ;2043; ;62; ;62;62;72;3;73;80;86;1;85;85;118;17;56;500;82;36;134;32;20; ; ;1
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;177;98; ; ; ;4900; ; ; ; ; ; ; ;19790; ; ; ; ; ; ; ;14930; ;15; ; ; ;392; ;500; ; ; ; ; ; ; ;1; ; ; ; ;6;1; ;10;2;1;1;1;15; ;3;6; ;29;6;9;10;4;12;6; ;17;2;4;4; ;82;22;5;6;14;13;7;3;15; ; ; ; ;4;3; ; ; ; ; ; ;66; ;411;76; ;56;49;50;3;3;571; ;269; ;63; ;61;64;46;3;44;47;51;1;23;52;31;27;59;62;130;31;25;53;5; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;14; ; ; ; ; ; ; ; ; ; ; ; ;131; ; ; ; ; ; ; ;156; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;33;108; ;284; ;2;10;1; ; ;0; ; ; ;1; ;3;1;3; ;7;3;1; ; ;1; ; ;1;7; ; ;3; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;30; ;1; ; ; ; ; ; ; ; ; ; ;1335; ; ; ; ; ; ; ;2650; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1;4;2; ; ;1; ; ; ; ;10;1;2; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2543;669;628;2106; ;9;9;8;1;1;6; ;126; ;8; ;9;9;6; ;8;7;5;1;5;6;6;1;1;38;6;3;9;1;6; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;188; ; ;1; ; ; ; ; ; ;1; ; ;11792; ; ; ; ; ; ; ;18960;238;268; ; ; ; ; ;519;22; ; ; ; ; ; ;28;3; ;5;1;33;17;3;102;5; ; ;1;57;8;1;15;2;181;76;21;163;16;14; ;3;97;10;2;12;1;433;131;19;77;37;18;2;4;24;1;19;9;1;49;27;14;7;12;3; ; ;18850;12262;3855;13026;231;66;56;40;9;65;108; ;3034;143;67; ;65;72;39;1;39;54;43;1;43;42;58;36;43;358;76;17;97;8;5; ;1;9
Buenos Aires;AVELLANEDA;Privado;Urbano;120; ; ; ; ;3472; ; ; ; ; ; ; ;11902; ; ; ; ; ; ; ;10558; ; ; ; ; ; ; ;400; ;44; ; ; ; ; ;1; ; ;1;1;5;1; ;18; ; ;2;3;1;1;1;3;1;10;5;4;14;5;20;4; ;23;7; ;3;3;36;30;4;18;17;11; ;5;25; ; ;1; ;24;6;3;1; ;1; ; ;240; ; ;210; ;39;33;27;5; ;26; ;562;587;36;1;35;38;30; ;22;30;27;1;16;25;17;36;149;74;146;27;20;33;7; ;1; 
Buenos Aires;AYACUCHO;Estatal;Rural;39; ; ; ; ; ; ; ; ; ; ; ; ;237; ; ; ; ; ; ; ;143; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;220;223;18;184; ;3;25;1; ;3;1; ; ; ;4;4; ;4;21;4;3;21;1;1; ;1; ; ; ;10;2;1; ; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;25; ; ; ; ; ; ; ; ; ; ; ; ;774; ; ; ; ; ; ; ;1486; ; ; ; ; ; ; ;53; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ; ; ; ; ;1; ; ; ; ;3; ;1; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ;2; ; ;588;336;506;1474;30;7;6;9;2; ;14; ;61; ;5; ;6;5;4; ;4;5;6; ;6;4;16; ;1;30; ;45;13; ; ;1; ;1
Buenos Aires;AZUL;Estatal;Rural;43; ; ; ; ; ; ; ; ; ; ; ; ;182; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;192;167; ;318;94;6;24; ; ;2;11; ; ; ;7; ;5;6;11; ;17;10;2; ; ;3; ; ;1;9; ;1;1;2; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;61; ; ; ; ; ; ; ; ; ; ; ; ;1461; ; ; ; ; ; ; ;3336; ; ; ; ; ; ; ;17; ; ;8; ; ; ; ;5; ; ; ; ; ; ; ;4; ; ; ; ;14; ; ; ; ;6; ; ;2; ; ; ;2;7;1;1;1; ;11;1; ; ; ;1; ; ; ; ;1; ; ;4; ; ;1; ; ; ; ;2436;1067; ;2798; ;15;19;13;4; ;30; ;419; ;15; ;20;15;13; ;14;18;16; ;8;16;3;6;6;71;7;2;51;1;3; ; ; 
Buenos Aires;AZUL;Privado;Urbano;22; ; ; ; ;416; ; ; ; ; ; ; ;1598; ; ; ; ; ; ; ;1391; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;101; ; ;99; ;4;7;6;2; ;3; ; ; ;5; ;5;5;4; ;6;4;7; ;2;7;2;3;1;11;7;1;8;5;1; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;6; ; ; ; ; ; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ;7;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;126;95; ;90; ;1;5; ; ; ;0; ;32; ;1; ; ;1;4; ;1;5; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;196;1; ; ; ; ; ; ; ; ;1; ; ;9971; ; ; ; ; ; ; ;16321; ; ;46;10; ;345; ;719;10;38;30;11; ; ; ;5; ;1; ; ;3;1; ;11;2; ; ; ;21; ;13;4;1;31;3;3;19;8;7; ; ;43;2;16;11;1;45;1; ;14;17;4; ;3;11;3;18;1;1;1;4;1;3; ; ; ; ;12036;3441;3766;10002;155;59;66;46;8;16;15; ;575; ;61; ;56;61;60;1;61;65;54;2;42;52;85;6;22;409;14;14;286;19;21; ;1;12
Buenos Aires;BAHIA BLANCA;Privado;Urbano;83; ; ; ; ;2413; ; ; ; ; ; ; ;6239; ; ; ; ; ;545; ;6849; ; ; ; ; ;441; ;765;35; ;63; ;83; ; ; ;1;1;1; ; ; ; ;5;1; ; ; ; ;1;3; ;1; ;2; ;3;6;8;2; ; ;4;4;1; ;2; ; ;3;8;7;3;2;1;1;1; ; ;3;2; ; ; ;1;1;1;270;5; ;189; ;28;20;23;8; ;608; ;330; ;25; ;29;25;11; ;16;12;22; ;1;20;13;13;131;27;36;20;28;27;10; ; ;4
Buenos Aires;BALCARCE;Estatal;Rural;34; ; ; ; ; ; ; ; ; ; ; ; ;171; ; ; ; ; ; ; ;319; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;271;114; ;310; ;3;21;2; ; ;1; ; ; ;4; ;4;4;10;1;10;10;3; ;3;3; ; ;1;3; ;2;7;3; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;45; ; ; ; ; ; ; ; ; ; ; ; ;1638; ; ; ; ; ; ; ;3492; ; ; ; ; ; ; ;57;13; ; ; ; ; ; ;6; ; ; ; ;5; ; ;2; ; ; ; ;7; ;1; ; ;6; ; ;6; ;1; ; ;22; ; ; ; ;10; ;2;1;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1306;648;47;1515; ;9;12;10;2; ;13; ;101; ;11; ;16;11;9; ;9;10;12;1;8;12;4;1; ;41;2;8;43; ;3; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5; ; ; ; ; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ;137; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1;5; ; ;4;1; ; ;6;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42;144; ; ; ;1;2;1; ;2;0; ; ; ;2; ; ;2;2; ; ;2;2; ; ;2; ; ; ; ; ; ;4; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Urbano;4; ; ; ; ; ; ; ; ; ; ; ; ;398; ; ; ; ; ; ; ;213; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1; ; ;2; ; ; ; ; ;3; ;2; ;3;2;1; ; ;1; ; ;2;9; ; ;2; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Rural;25; ; ; ; ; ; ; ; ; ; ; ; ;254; ; ; ; ; ; ; ;456; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;3; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;380;473;243;580;121;2;11;4; ; ;6; ;58; ;1;1;5;1;3;1;10;4;2;1;2;4;2; ; ;6;5; ;9; ;1; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;39; ; ;11; ; ; ; ; ; ; ; ; ;1394; ; ; ; ; ; ; ;2501; ; ; ; ; ; ; ;153; ; ; ; ; ; ; ;3; ;1;2; ;4; ; ;2; ; ; ; ;5; ; ;3; ;5; ; ;3; ;1; ; ;16; ; ;2; ;9;1; ;3; ;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ;996;495;431;2694; ;8;10;9;2;1;278; ;125; ;9;1;17;9;4; ;9;5;8;1;5;8;9;13; ;42;26;3;30;1; ; ; ;1
Buenos Aires;BARADERO;Privado;Urbano;10; ; ; ; ;75; ; ; ; ; ; ; ;481; ; ; ; ; ; ; ;722; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;0; ; ; ;1; ;4;1;1; ;3;1;3; ; ;3;2;1; ;5;12;2;1;4; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;13; ; ; ; ; ; ; ; ; ; ; ; ;103; ; ; ; ; ; ; ;154; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;140;512;56;486; ;5;5;3; ; ;0; ; ; ;1; ;5;1;1; ;5;1; ; ;3; ;1; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;17; ; ; ; ; ; ; ; ; ; ; ; ;628; ; ; ; ; ; ; ;1615; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;6; ;1; ;2;1; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ;1714;645;330;1546;14;4;6;6;1; ;30; ;104; ;4; ;4;4;4; ;5;5;6;1;4;6;1; ; ;32;7; ;25;4;1; ; ; 
Buenos Aires;BERAZATEGUI;Estatal;Urbano;182; ;6;25;35; ; ; ; ; ; ; ; ;11649; ; ; ; ; ; ; ;21658; ; ; ; ; ; ; ;52; ; ; ; ; ; ; ;28;1; ;3; ;8;1;1;9; ; ; ;1;111;1;1;8; ;65;7;4;14;7;5; ;1;221;6;1;14;3;186;10;15;12;8;10; ;2;16;1;1;1; ;19;4;5; ; ; ; ; ;23663;9079;3540;16983; ;54;55;54;3;47;20; ;2686; ;61; ;60;61;44;1;44;56;59;1;60;60;42;20;41;291;40;25;95;12;11;1; ; 
Buenos Aires;BERAZATEGUI;Privado;Urbano;105; ; ; ; ;3813; ; ;209; ; ; ; ;13291; ; ;393; ; ; ; ;8989; ; ; ; ; ;404; ;246;14;9; ; ; ; ; ;1;1;1; ;1;2; ; ;2;1; ;1; ;18;1;2;2;1;12;4; ;5;5;13; ; ;13;4;4;1;3;26;4;4;8;13;15; ; ;120; ;2;3; ;23; ;1; ;1; ; ; ;240; ; ;252; ;31;34;32;6;1;24; ;232;228;37; ;37;37;31;2;30;31;27; ;22;29;4;32;28;68;72;37;25;18;1; ; ; 
Buenos Aires;BERISSO;Estatal;Urbano;58; ;11;8; ; ; ; ; ; ; ; ; ;2968; ; ; ; ; ; ; ;7018; ; ; ; ; ; ; ;250; ;21; ; ; ; ; ;8;1; ;1;2;4;11; ;4; ; ; ; ;13;5; ;8;1;91;51;1;11;2;2; ; ;20;4;2;5;1;168;56;1;3;2; ; ; ;6;1; ; ; ; ;6; ; ;1;1; ; ;6563;3687;1274;6949; ;9;19;16;2;24;16; ;670; ;15; ;16;15;15; ;15;19;18; ;16;19;19;10;3;141;3;3;110;4;1;4;2; 
Buenos Aires;BERISSO;Privado;Urbano;21; ; ; ; ; ; ; ; ; ; ; ; ;1075; ; ; ; ; ; ; ;1497; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3; ; ; ;2;3; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;77;198; ;308; ;5;7;6;1; ;322; ;198; ;6; ;7;6;3; ;6;4;6; ;1;6;1;3;1;15;7;1;2;3; ; ; ; 
Buenos Aires;BOLIVAR;Estatal;Rural;41; ;2; ; ; ; ; ; ; ; ; ; ;168; ; ; ; ; ; ; ;270; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;226;174; ;504; ;1;9;3;1;11;7; ;73; ;3; ;6;3;12; ;13;14;2; ;4;2;2; ;1;13; ; ;10; ; ; ; ; 
Buenos Aires;BOLIVAR;Estatal;Urbano;38; ; ; ; ; ; ; ; ; ; ; ; ;1132; ; ; ; ; ; ; ;1979; ; ; ; ; ; ; ;140; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ; ;4;1; ; ;2; ; ; ; ; ; ; ; ;12;5; ; ;2; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1614;650;236;1720;33;7;10;7;1;6;25; ;198; ;11; ;14;10;7; ;8;9;7;1;7;7;11; ; ;56; ; ;40; ; ; ; ; 
Buenos Aires;BOLIVAR;Privado;Urbano;7; ; ; ; ;93; ; ; ; ; ; ; ;104; ; ; ; ; ; ; ;526; ; ; ; ; ; ; ;10; ;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;134; ;2;1;2;1; ;6; ; ; ; ; ;2; ;1; ;2;1;2; ; ;2; ; ; ;6;1; ;4;1; ; ; ; 
Buenos Aires;BRAGADO;Estatal;Rural;23; ; ; ; ; ; ; ; ; ; ; ; ;245; ; ; ; ; ; ; ;286; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;386;340; ;318; ;7;11;4; ;1;1; ;163;20;3; ;4;4;5; ;5;6;2; ;2;2;1; ; ;12; ; ;6; ; ; ; ; 
