provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngratuitaDesayuno;BeneficiariosdealimentacióngratuitaAlmuerzo;BeneficiariosdealimentacióngratuitaRefrigerio;BeneficiariosdealimentacióngratuitaMerienda;BeneficiariosdealimentacióngratuitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;SAN FERNANDO;Estatal;Urbano;72; ; ; ;1; ; ; ; ; ; ; ; ;5112; ; ; ; ; ; ; ;8272; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ;5; ; ;1; ;7;28;2;17;1; ; ; ;15;1;1;3;1;96;90;6;39;9; ;1; ;16;1;3;6; ;93;69;7;17;6; ;1;1;1; ;1;2; ;1;7;3; ; ; ; ;1;7105;4600;1238;4276; ;17;22;20;2;10;7; ;1285; ;22; ;20;23;17; ;17;22;23;1;22;21;9;3;21;112;9;28;95;4;10; ; ;1
Buenos Aires;SAN FERNANDO;Privado;Urbano;70; ; ; ; ;2577; ; ; ; ; ; ; ;6711; ; ; ; ; ; ; ;6466; ; ; ; ; ;52; ;188; ; ; ; ; ; ; ;1;5;5; ; ;4;9; ;7;9;1;2; ;2;3;1;4;1;2;20;2;11;16;10;3;52;3;11;2;6; ;5;29;3;6;22;18;6;9;7; ;1;1;2;11;21;1;2; ;1; ; ;726;691;286;436; ;29;20;20;1;8;156; ;361;884;31;1;29;32;19; ;11;16;18; ;7;15;4;29;20;38;56;29;27;15;2; ; ; 
Buenos Aires;SAN ISIDRO;Estatal;Urbano;95; ; ; ;2;1521; ; ; ; ; ; ; ;4962; ; ; ; ; ; ; ;9264; ; ; ;35; ; ; ; ; ; ; ; ; ; ; ;4;3;1; ; ;5;7;1;32;2; ; ; ;13;1;3;2;1;60;61;4;60;4;7;3; ;12;3;4;5;2;181;122;11;26;7;16;2;2; ; ; ; ; ; ;1; ; ; ; ; ; ;8114;2729;2671;6043; ;26;33;23;2;39;161; ;1626;127;27; ;27;27;24;1;24;32;28;2;26;26;10;22;21;107;34;18;119;16;25; ; ; 
Buenos Aires;SAN ISIDRO;Privado;Urbano;195; ; ; ; ;3750;113; ;150;388; ;182; ;13134; ; ; ;323; ;760; ;15751; ; ; ; ; ;1363; ;552;80;165; ; ; ;23; ;2;6;4;2; ;4;4;6;13;30;21;2;9;6;21;10;8;1;14;24;9;28;50;85;9;2;8;17;9;7;3;24;54;19;26;62;78;4;4;16;2;3;1; ;11;59;3;2;4;1; ; ;792;587; ;582; ;67;56;53;10;3;483; ;2580;1149;70;2;47;69;44;1;19;49;47;1;8;46;9;82;20;61;164;46;51;96;28; ;1;2
Buenos Aires;SAN MIGUEL;Estatal;Urbano;126; ;1; ; ; ; ; ; ; ; ; ; ;8747; ; ; ; ; ; ; ;13951; ; ; ; ; ;292; ;1302; ; ; ; ;72; ; ; ; ; ; ; ;17;6;1;27;2; ; ; ;24;1; ;10; ;217;17;7;83;2;2; ;4;51;4;4;4;1;501;51;3;86;8;1;1;3;4;1;2;2; ;27;10;11;7;1;3; ; ;12000;7533;6286;8960; ;27;39;40;6;207;37; ;31; ;31; ;31;33;36;1;38;36;44;2;43;44;26;15;59;146;51;57;85;14;31;1; ;8
Buenos Aires;SAN MIGUEL;Privado;Urbano;144; ; ; ; ;3961; ; ;176; ; ; ; ;13120; ; ; ; ; ;416; ;11425; ; ; ; ; ;889; ;532; ; ; ; ; ;119; ; ;1; ;2;1;3;4; ;19;2;2;1; ;2;3;3;7;1;25;12;3;33;13;8;1;1;18;8;14;4;2;90;30;8;26;23;17;5;2;5;1;1;3; ;15;7;1;1; ; ; ; ;70; ; ;63; ;44;50;46;7;65;103; ;193;2000;50;1;49;50;43; ;38;38;47; ;16;44;2;34;40;56;101;70;41;34;29; ; ; 
Buenos Aires;SAN NICOLAS;Estatal;Rural;6; ; ; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;91;86;6;50; ;1;4; ; ; ;0; ;36; ;1; ;1;1;3; ; ;4; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; 
Buenos Aires;SAN NICOLAS;Estatal;Urbano;104;1;2;3; ; ; ; ; ; ; ; ; ;4626; ; ; ; ; ;891; ;8261; ; ; ; ; ;602; ;584; ;18; ; ; ; ; ; ; ;1; ; ;3; ; ;8; ; ; ; ;9;1;1;3; ;6; ; ;13;7;7; ; ;2;4;1;4; ;2; ;2;6;14;2; ;2;3;2; ;5;1;6;3;1;11;5; ; ; ;6831;3634;1199;9247; ;27;36;31;5;20;49; ;449;892;22;1;27;22;26; ;30;31;30; ;16;31;15;13;13;251;36;45;94;14;11; ; ;1
Buenos Aires;SAN NICOLAS;Privado;Urbano;57; ; ; ; ;1575; ; ; ; ; ; ; ;4521; ; ; ; ; ;333; ;4739; ; ; ; ; ;121; ;339; ; ; ; ;30; ; ; ;2;1; ; ; ;1; ;8;1;1;1; ; ; ;2;1; ; ; ;2;10;7;8; ; ; ;1; ;2; ; ; ;1;2;4;6; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;20;16;15;4; ;18; ; ;190;16; ;19;16;12;1;13;11;16; ;2;16;3;18;15;34;26;21;14;18;9; ; ; 
Buenos Aires;SAN PEDRO;Estatal;Rural;40;56;6;2; ; ; ; ; ; ; ; ; ;608; ; ; ; ; ; ; ;395; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;1; ;2; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;727;553;136;1445; ;6;19;2; ;2;3; ; ;27;4; ;12;4;5; ;22;4;3; ;1;3;1; ;1;42; ; ;2; ; ; ; ; 
Buenos Aires;SAN PEDRO;Estatal;Urbano;47; ;4;8; ; ; ; ; ; ; ; ; ;2826; ; ; ; ; ; ; ;4851; ; ; ; ; ; ; ;370; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ;4; ; ; ; ;2;2; ; ; ;4; ; ;8; ; ; ; ;1;1; ;3; ;4; ;1;2;1; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3212;786;1556;4619;138;12;15;14;2;38;0; ; ; ;10; ;13;10;15; ;15;15;12; ;14;11;23;1; ;86;12;3;46;1;1; ; ; 
Buenos Aires;SAN PEDRO;Privado;Urbano;13; ; ; ; ; ; ; ; ; ; ; ; ;530; ; ; ; ; ; ; ;971; ; ; ; ; ; ; ;81;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;3;4;4;2; ;1; ; ; ;3; ;4;3;2; ;3;1;3; ;1;3;2;1; ;8;4;2;9; ;1; ; ;2
Buenos Aires;SAN VICENTE;Estatal;Rural;9; ; ; ; ; ; ; ; ; ; ; ; ;298; ; ; ; ; ; ; ;395; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ;22;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;474;379;320;20; ;3;5;1; ;4;0; ; ; ;2; ;2;2;4; ;2;4;1; ;1;1;1; ; ;8;1;1;3; ; ; ; ; 
Buenos Aires;SAN VICENTE;Estatal;Urbano;47; ; ;1; ; ; ; ; ; ; ; ; ;5207; ; ; ; ; ; ; ;6663; ;91;91; ; ;91; ;479; ; ; ; ; ; ; ;1;1; ; ; ;5; ;1; ;1; ; ; ;28; ; ;3; ;57;8;1;1;3;1; ;6;13;1;2;7; ;123;14;12;1;7;1; ; ;4; ;2; ; ;6;4;2;2; ; ; ; ;6151;3857;1079;4791; ;13;15;14;2;90;6; ;758;803;15; ;14;15;13;1;13;14;15; ;12;15;25; ;7;115;9;7;53;2;3;1; ;2
Buenos Aires;SAN VICENTE;Privado;Urbano;15; ; ; ; ;522; ; ; ; ; ; ; ;877; ; ; ; ; ; ; ;1094; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;2;2; ; ; ;1; ; ; ;1; ; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;5;2;4;1; ;5; ; ;64;7; ;4;5;4; ;2;3;4; ;1;2;4; ;2;4;5;1;2;3; ; ; ; 
Buenos Aires;SUIPACHA;Estatal;Rural;16; ; ; ; ; ; ; ; ; ; ; ; ;98; ; ; ; ; ; ; ;85; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;133;203; ;227; ;3;9;1; ;1;0; ; ; ;2; ;6;2;1; ;8;1; ; ;1; ;2; ; ;4; ; ;2; ; ; ; ; 
Buenos Aires;SUIPACHA;Estatal;Urbano;12; ; ;1; ; ; ; ; ; ; ; ; ;293; ; ; ; ; ; ; ;585; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;4; ; ; ; ; ; ;2;1; ; ; ; ;4; ; ; ; ; ; ; ;1; ; ; ; ;7; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1085;291;236;751; ;4;3;3; ; ;0; ;109;21;3; ;6;3;2;1;2;3;3;1;1;3;4; ; ;14; ; ;9; ; ; ; ; 
Buenos Aires;SUIPACHA;Privado;Urbano;5; ; ; ; ; ; ; ; ; ; ; ; ;416; ; ; ; ; ; ; ;406; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2; ; ;0; ; ; ; ; ;1; ; ; ;2; ;2; ; ;2; ; ; ;4; ;1;5; ; ; ; ; 
Buenos Aires;TANDIL;Estatal;Rural;49; ; ; ; ; ; ; ; ; ; ; ; ;514; ; ; ; ; ; ; ;959; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;852;810;25;783;25;13;20;6;2;2;11; ;96; ;12; ;7;12;18; ;6;20;6; ;1;5; ; ; ;14;2;1;6; ;1; ; ; 
