provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Santa Fe;CASEROS;Privado;Urbano;16; ; ; ; ; ; ; ; ; ; ; ; ;703; ; ; ; ; ; ; ;1250; ; ; ; ; ;68; ;65; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1; ; ; ; ;1; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;180;28; ; ; ;1;2;5;2;1;0; ; ; ;2; ;6;2;5; ;6;5;4; ; ;8; ;1;7;15;4;5;5;1;7; ; ; 
Santa Fe;CASTELLANOS;Estatal;Rural;110; ;2; ; ; ; ; ; ; ; ; ; ;1876; ; ; ; ; ; ; ;1257;22; ; ; ; ;59; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;4; ; ;1; ;1; ;1;2; ; ; ; ;2; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3728;1064; ; ; ;18;55;12; ;11;0; ; ;285;47; ;17;48;63; ;31;63;14;1;6;14;1; ;8;100; ;28;43; ;11; ; ; 
Santa Fe;CASTELLANOS;Estatal;Urbano;104;1;2;3; ; ; ; ; ; ; ; ; ;8249; ; ; ; ; ;65; ;7434;486; ; ; ; ;492; ;77; ; ; ; ; ; ; ;5;1; ; ; ; ; ; ; ; ;2; ; ;46;2;1;5;1;2;1;2;6;1;7;1; ;39;2;1; ; ;4; ; ;1;4;10;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10915;4650; ;204; ;26;40;13;2;56;1; ; ;787;44; ;40;45;42; ;43;42;12; ;8;18;8;2;35;279;23;154;87;4;117; ; ; 
Santa Fe;CASTELLANOS;Privado;Rural;7; ; ; ; ; ; ; ; ; ; ; ; ;29; ; ; ; ; ; ; ;653; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;522;88; ; ; ;2;1;3; ;1;0; ; ; ;2; ;2;2;2; ;1;2;2; ;1;3; ; ; ;3; ;1;10; ;7; ; ; 
Santa Fe;CASTELLANOS;Privado;Urbano;27; ; ; ; ;167; ; ; ; ; ; ; ;531; ; ; ; ; ; ; ;2295; ; ; ; ; ;174; ;44; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;4;2;4; ;1; ;2; ; ; ; ;1; ; ;4;3;2; ;2; ; ; ; ; ; ; ;1; ; ; ; ;392;234; ; ; ;6;6;7;3; ;0; ; ; ;8; ;8;8;5; ;5;6;7; ;4;8; ;3;7;4;21;14;16;11;10; ; ; 
Santa Fe;CONSTITUCION;Estatal;Rural;29; ; ; ; ; ; ; ; ; ; ; ; ;606; ; ; ; ; ; ; ;421; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1614;632; ; ; ;5;13;5; ;5;0; ;312;70;10; ;9;10;11; ;8;12;9; ;1;9;2; ;4;13;1;23;3;2;13; ; ; 
Santa Fe;CONSTITUCION;Estatal;Urbano;43; ;16;68;1; ; ; ; ; ; ; ; ;3918; ; ; ; ; ; ; ;3838;39; ; ; ; ; ; ;228; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;5; ;1;1; ;3; ; ;2;4;2; ; ; ;2; ;3; ;5; ; ;2;12;7; ; ; ; ;1;1; ;1; ; ; ;1; ; ; ;7033;3468; ; ; ;11;21;9;2;28;1; ; ;722;15; ;17;15;22; ;21;20;9; ;5;13;7; ;9;73;1;33;28;1;24; ; ;3
Santa Fe;CONSTITUCION;Privado;Urbano;19;8; ;4; ;148; ; ; ; ; ; ; ;988; ; ;181; ; ;276; ;1245; ; ; ; ; ;124; ;15; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ; ;1; ;1; ; ; ; ; ;1; ;5; ; ;1; ; ; ; ;2; ; ; ;6;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;390; ; ; ; ;4;2;6;2;4;0; ; ; ;4; ;7;4;3; ;4;3;6; ;2;7;2;2;5;7;2;10;8;2;16; ; ; 
Santa Fe;Enmascarado;Privado;Rural;11; ; ;12; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ;944; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;3; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1166; ; ; ; ; ;6; ; ;0; ;8; ; ; ; ; ; ; ; ;1;2; ;1;9; ; ; ; ; ; ;14; ;8; ; ; 
Santa Fe;Enmascarado;Privado;Urbano;3; ; ;1; ; ; ; ; ; ; ; ; ;56; ; ; ; ; ; ; ;645; ; ; ; ; ;27; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;64;534; ; ; ; ; ;1; ;2;0; ; ; ;1; ;1;1;1; ;1;1; ; ;1;1; ; ;1;3; ;10;11; ;4; ; ; 
