provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;15;0;17;0;6;0;0;10;0;42;0;16;0;25;0;1;16;0;4;0;58;0;0; ; ; ; ; ; ; ;26;0;0;408;0;0;0;0;2464,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;16;2;82;0;59;0;1;0;0;23;2;102;0;49;0;1;0;0;24;0; ; ;81;0;0;9;2;0;0;9;0;0;105;0;0;847,5;0;0;0;0;3171;0;40;0;0;1354,5;0;0;0;33;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3;0;15;0;5;0;0;0;3;7;0;30;0;6;0;0;0;0;7;0;0;0;13;0;0; ; ; ; ; ; ; ;24;0;9;147;0;39;31,5;0;1081,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;2;0;20;0;13;0;7;0;1;9;0;43;0;24;0;15;0;0;24;2;1;0;28;3;0; ; ; ; ; ; ; ;21;0;140;480;0;15;42;12;2032,5;34,5;9;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;0;72;0;41;0;0;0;1;26;1;142;0;54;0;1;0;0;37;1;0;0;102;2;0;12;3;185;6;14;4;0;174;1;0;1170;0;0;72;0;6334,5;18;305;0;0;1641,5;78;0;0;0;0;0;0;597;30;0
Buenos Aires;9 DE JULIO;Privado;Urbano;1;0;15;0;9;0;0;0;0;9;0;31;0;8;0;0;0;0;8;0;0;0;14;0;9; ; ; ; ; ; ; ;38;0;15;138;0;28,5;0;0;1158;0;0;0;28,5;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1;0;12;0;5;0;2;0;0;3;0;10;0;5;0;12;0;1;3;1; ; ;7;0;0; ; ; ; ; ; ; ;3;0;0;171;6;0;0;0;361,5;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;8;0;31;0;24;1;2;0;0;13;0;47;0;22;0;0;0;0;26;2;0;0;61;15;0; ; ; ; ; ; ; ;48;3;0;412,5;3;0;0;0;2287,5;63;16;0;145,5;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2;0;11;0;5;0;2;0;0;5;0;8;0;3;0;7;0;0;9;1;23;0;15;0;0; ; ; ; ; ; ; ;21;0;0;154,5;0;0;0;0;814,5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6;0;24;0;16;0;0;0;0;9;0;31;0;14;0;0;0;0;11;1;0;0;23;0;0;2;0; ; ;3;0;0;51;0;0;312;0;0;19,5;0;1080;3;79,5;0;15;348;0;0;0;0;0;0;0;0;0;0
