provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;25 DE MAYO;Estatal;Rural;50;50;50; ; ; ; ; ;33;36;21;4;23;26;42;15; ;4;1;34;21;10;6;2; ;7;5;7;2; ;3;8;20;3;1;18;4;4;1;21;23;12;15;7;27;16;7;17;12; ;1;4;13;6;27;14; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43;43;43; ; ; ; ; ;32;28;24;4;24;20;32;18; ;1;2;27;14;14;10;2; ;6;9; ;4; ; ;11;24;5; ;28; ;4;1;29;19;16;10;7;24;6;13;19;19; ; ; ;11;4;32;19; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9;9;9; ; ; ; ; ;7;7;6;5;9;9;8;2; ;5; ;9;1;2;3;1;2;2;2;4;1; ;2; ;9;2;2;5; ; ;1;9;5;2;4;2; ; ;9;8;6; ; ;2;3;3;6;4; ;3;3;3; 
Buenos Aires;9 DE JULIO;Estatal;Rural;48;48;48; ; ; ; ; ;39;38;20;10;30;27;39;23; ;8;1;32;23;11;9;4;1;10;9;9;4; ; ;13;10;5;3;10;7;1;1;22;16;11;9;8;27;8;13;12;10; ; ;2;15;8;27;18; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;37;37;37; ; ; ; ; ;26;32;18;12;14;19;29;17; ;8;5;32;19;14;14;4;4;8;11;10;7; ;4;19;14;9;7;14;4;4;2;31;19;17;14;9;19;12;6;17;15;1; ;1;17;10;26;22; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7;7;7; ; ; ; ; ;5;7;6;4;7;6;7;5; ;1; ;7; ;2;3;3;1;3;3;1;2; ;1; ;7; ;2;2;2; ;2;7;7;5;5;5; ; ;7;4;2;2; ; ;4;4;6;6; ;2;2;3; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26;26;26; ; ; ; ; ;21;16;13;6;21;14;20;19; ;9; ;14;15;9;6;4;3;9;6;7;8; ;2;20;4;3; ;5;18;1; ;17;19;7;8;7;14;7;5;15;15; ; ; ;10;7;17;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19;19;19; ; ; ; ; ;17;17;6;1;12;12;16;12; ; ;1;15;9;6;3;1; ;2;2;2;1; ; ;11;8;4;1;9;3;4; ;19;15;9;10;4;8;11; ;9;9; ; ; ;4;4;12;10; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22;17;17; ; ; ; ;1;13;11;5;3;9;11;14;10; ;4;1;10;4;3;4; ; ;3;4;1;3; ;1;9;1;3;1;3;5;3; ;7;7;4;4; ;12;4;6;4;1; ;1;2; ; ;11;4; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14;13;13; ; ; ; ; ;11;11;4;4;7;6;11;10; ;3;1;12;6;8;6;1;1;5;5;4;5; ;3;10;1;1;1;6;1;2;1;10;7;6;6;2;9;4; ;2;1; ; ;1;4;2;11;8; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;17;17;17; ; ; ; ; ;15;13;7;5;13;11;15;9; ;3;2;10;6;3;4;1;2;4;3;3;1; ; ;5;10;1;1;4;4;5; ;9;11;4;6;3;9;6;2;7;6; ; ;1;4;3;10;6; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;9;9;9; ; ; ; ; ;8;8;6;1;8;6;9;9; ;2;2;8;4;2;4;1; ;2;1;1; ; ; ;1;8; ; ;8; ; ;1;8;7;3;7;3;6;2;1;6;6; ; ; ;2;2;5;5; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;237;237;236; ; ; ; ;1;211;193;83;34;148;155;193;93; ;47;14;198;68;78;51;7;9;47;53;22;26; ;11;211;6;53;22;132;11;23;28;211;144;103;81;49;106;67;64;114;100;2; ;12;71;45;201;147; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;175;171;171;9; ; ; ; ;152;138;82;53;149;140;160;99; ;39;9;163;18;35;29;11;10;38;35;30;19; ;6;2;158;75;16;87;6;8;14;158;58;40;73;85;1;1;169;81;47;15;15;4;99;86;101;65;5;46;45;44;1
Buenos Aires;ARRECIFES;Estatal;Rural;14;14;13; ; ; ;1; ;13;10;6; ;9;7;12;8; ;2; ;9;5;2;2;1; ;1;2;2;1; ; ;9;2;1;1;5;3;2; ;9;11;3;5;1;5;8;1;7;6; ; ;1;3;1;6;4; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;31;31;31; ; ; ; ; ;26;24;12;6;20;25;26;18; ;10;2;22;9;15;12;4;2;10;13;6;6; ;7;25;4;4;3;10;5;7;3;28;14;12;12;6;9;16;6;21;20; ; ;1;8;5;23;14; ; ; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;186;181;180; ; ; ; ;1;163;151;92;38;136;125;171;96; ;39;13;160;50;73;45;16;12;44;49;26;28; ;17;124;25;39;5;99;3;20;16;147;77;70;47;41;109;57;15;82;64;4;3;11;63;48;153;118; ; ; ; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;118;106;105;4; ; ; ; ;91;90;71;48;91;81;102;65; ;25;3;100;29;25;25;13;13;27;26;20;15; ;7;3;101;29;7;71;1;6;10;103;56;31;61;67;1; ;105;46;15;23;8; ;68;63;64;44;10;30;26;29;3
Buenos Aires;AYACUCHO;Estatal;Rural;38;36;28;2;7; ; ; ;28;28;10;3;13;23;27;20; ;5; ;22;11;9;9;3;1;2;9;6;6; ;2;14;3;1; ;3;9;2;2;7;14;4;6;1;20;11;6;7;4;1; ;2;5;2;21;7; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;25;25;24; ; ; ; ;1;24;19;8;5;14;22;22;10; ;3;2;20;5;10;5;1;1;7;11;4;5; ;1;5;13;6;2;7;2;2;1;18;5;7;8;4;11;5;9;8;7; ; ;1;6;4;18;12; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Rural;43;40;26;2;12; ; ;1;25;27;20;10;24;22;35;22; ;4;1;28;19;4;7;5;3;3;3;7;4; ;1;15; ; ; ;5;10; ;1;6;15;1;8;1;17;11;15;6;5; ; ;1;2; ;19;7; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;61;61;61; ; ; ; ; ;49;45;22;12;39;34;52;33; ;11;4;45;23;13;17;3;1;9;12;9;10; ;4;44;6;10;4;25;7;4;7;48;25;21;21;11;32;19;10;29;24;2; ;3;22;15;50;33; ; ; ; ; 
Buenos Aires;AZUL;Privado;Urbano;21;21;21; ; ; ; ; ;16;20;15;7;19;17;20;13; ;3; ;19; ;7;5; ;1;7;7;1;6; ;1;6;15;4;1;13;1;2;2;19;14;10;11;10;3;1;17;11;6;2; ;3;11;7;14;9;1;4;7;7; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;6;6;6; ; ; ; ; ;6;6;4;2;4;3;6;4; ; ; ;6;4;3;3;3;1;3;3;3;3; ; ;3; ; ; ;1;2; ; ;2;3;2;1; ;3;1;2;1;1; ; ; ;1;1;5;4; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;196;193;193; ; ; ; ; ;170;170;86;33;136;120;181;104; ;30;11;163;75;76;58;15;11;56;50;37;30; ;8;107;54;15;6;116;6;23;10;157;92;82;61;37;110;43;40;102;90;4;4;4;56;37;158;126; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Privado;Urbano;88;85;85; ; ; ; ; ;73;71;56;45;76;64;84;50; ;16;5;82;11;18;17;4;7;26;20;19;12; ;6; ;84;13;6;64;3;5;11;84;54;42;54;39; ; ;85;52;20;13;16;3;39;36;62;42;10;22;15;19;4
Buenos Aires;BALCARCE;Estatal;Rural;34;34;33; ;1; ; ; ;26;22;15;6;16;16;28;18; ; ; ;21;16;5;5; ;1;3;2;3;3; ; ;12;5;2; ;3;11;1;2;14;12;3;4; ;20;10;4;16;16; ; ; ;6;2;13;6; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;46;46;45;1; ; ; ; ;37;32;17;7;30;28;35;25; ;7;2;31;17;18;12;4; ;14;14;5;5; ;2;31;7;4;1;27;5;4;1;36;16;11;12;9;24;11;11;29;27;1; ;1;12;6;31;20; ; ; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5;4;4;1; ; ; ; ;4;4;2;1;1;1;4; ; ;1;1;4;2;1;3; ; ;1;1;1; ; ; ; ;4; ;1;2; ;1; ;4;4;4;4;4; ; ;4;3;1;2; ; ;3;2;4;3;1;2;1;2; 
Buenos Aires;BALCARCE;Privado;Urbano;4;4;4; ; ; ; ; ;4;4;4;3;4;4;4;1; ;2; ;4; ;3;3; ; ;1;2; ;1; ;2; ;4;1; ;4; ; ; ;4;4;3;3;2;1; ;3;4;4; ; ; ;3;3;3;3; ;3;3;1; 
Buenos Aires;BARADERO;Estatal;Rural;25;25;21;4;1;1; ; ;21;21;13;7;14;17;21;13; ;10;3;20;13;4;4;3; ;4;4;7;4; ;2;4;6; ; ;2;5;1;2;10;4;3;1;1;13;6;6;8;8; ; ; ;3;2;12;5; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;39;39;36;3;1; ; ; ;27;26;14;7;19;18;30;16; ;10;1;34;10;10;9;2;1;8;6;9;6; ;4;23;4;7;5;13;2;5;1;27;13;16;10;9;17;14;8;15;11;1; ;3;9;6;27;22; ; ; ; ; 
Buenos Aires;BARADERO;Privado;Urbano;10;10;10; ; ; ; ; ;9;9;7;5;8;7;8;7; ; ; ;10;2;7;5;1;1;5;4;4;2; ; ; ;8;5;2;3; ;1; ;8;8;6;8;5; ; ;10;6;3;1;2; ;4;3;9;7;1;2;2;2; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;13;13;13; ; ; ; ; ;13;10;8;3;11;10;13;12; ;1;1;12;4;5;5;3;2;5;4;4;5; ;1;3;8; ;1;3;4;1;3;11;3;4;2;1;8;5; ;6;6; ; ; ;3;2;8;6; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;17;17;17; ; ; ; ; ;15;15;11;4;15;11;17;11; ;1;2;16;8;8;6;2;2;4;6;3;3; ; ;3;13;2;2;3;6;2;2;16;8;6;3;2;9;7;1;10;8; ; ;2;2;2;16;13; ; ; ; ; 
Buenos Aires;BERAZATEGUI;Estatal;Urbano;182;181;181;1; ; ; ; ;160;138;71;34;111;114;163;88; ;41;9;152;48;70;54;8;5;48;44;23;24; ;12;154;11;41;24;70;28;28;20;161;102;90;72;38;100;45;36;88;71;2;3;12;46;27;171;132; ; ; ; ; 
