provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;25 DE MAYO;Estatal;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;265;100;48;22; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;242;109;44;25;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;2;199;69;36;10;3; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Deambuladores; ;74; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Lactantes;27; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 2; ; ;207; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 3; ; ; ;332; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 4; ; ; ; ;380; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;Sala de 5; ; ; ; ; ;395; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;1°; ; ; ; ; ; ;153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;86;7;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;9;7;4; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;62;7;5; ; ; ; ; ; ; ; ; ; ; ;5; 
Buenos Aires;25 DE MAYO;Privado;Urbano;2°; ; ; ; ; ; ; ;159;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;3°; ; ; ; ; ; ; ; ;150;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;4°; ; ; ; ; ; ; ; ; ;143;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;5°; ; ; ; ; ; ; ; ; ;6;131;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;6°; ; ; ; ; ; ; ; ; ; ; ;150;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;113;13;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;103;22;9;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
