provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Chaco;1Â§ DE MAYO;Estatal;Rural;9;3;15; ; ; ; ; ; ; ; ; ; ; ;28; ; ; ; ;61; ; ; ;82; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;236;285;295;143; ;1;6;1; ;4; ; ;123;53;1; ; ;3;5; ;3;7; ; ;1; ; ; ; ;6; ;2; ; ; ; ; ; 
Chaco;1Â§ DE MAYO;Estatal;Urbano;17;2;12;1; ; ; ; ; ; ; ; ; ; ;296; ; ; ; ; ; ; ; ;801;72;20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;3; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;143;325;955; ; ;4;3;2; ;2; ; ; ;169;5; ;4;5;5; ;4;5;5; ;3;5;1; ; ;7;8; ;1; ; ; ; ; 
Chaco;2 DE ABRIL;Estatal;Rural;15; ; ; ; ; ; ; ; ; ; ; ; ; ;16; ; ; ; ; ; ; ; ;67; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;84;243;197;67; ;3;9;1; ;1; ; ;14; ;6; ; ;6;12; ;1;13; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; 
Chaco;2 DE ABRIL;Estatal;Urbano;8; ; ; ; ; ; ; ; ; ; ; ; ; ;112; ; ; ; ; ; ; ; ;461; ; ; ; ; ; ; ; ;66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;400;997; ; ;1;4;1; ;4; ; ; ;510;2; ;1;2;4; ;2;4;1; ;1;1;3; ; ; ; ; ;9; ; ; ; ; 
Chaco;25 DE MAYO;Estatal;Rural;37;175;1028; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;673; ; ; ;168; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1149;1436;1137;36; ;2;13; ; ;33; ; ;459;163;10; ;2;13;27; ;3;31; ; ; ; ; ; ; ;4; ;7; ; ; ; ; ; 
Chaco;25 DE MAYO;Estatal;Urbano;23; ;98;105;3; ; ; ; ; ; ; ; ; ;189; ; ; ; ; ; ; ; ;839; ; ;83; ; ;356; ; ;91; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;539;239;2681;686;89;4;6;4;1;16; ; ; ;165;5; ;4;5;9; ;7;9;4; ;6;3;5; ;1;35;3;2;16; ;10; ; ; 
Chaco;9 DE JULIO;Estatal;Rural;37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;843;1083;425;24; ;6;25; ; ;24; ; ;480; ;10; ; ;15;24; ; ;36; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; 
Chaco;9 DE JULIO;Estatal;Urbano;21; ;5; ; ; ; ; ; ; ; ; ; ; ;297; ; ; ; ; ; ; ; ;2131;219; ; ; ; ; ; ; ;95; ;25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1540;3268;2676;683;75;5;7;6;1;2; ; ;845;451;7; ;6;8;6; ;6;8;5; ;4;4;2;3;1;30;3;9;3;1;2;1; ; 
Chaco;ALMIRANTE BROWN;Estatal;Rural;48;6; ; ; ; ; ; ; ; ; ; ; ; ;21; ; ; ; ; ; ; ; ;133; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;919;1075;94;377;319;1;16;1; ;50; ; ; ;71;10; ;1;10;44; ;3;44;1; ; ;1; ; ;2;4;1;2; ; ; ; ; ; 
Chaco;ALMIRANTE BROWN;Estatal;Urbano;37; ; ;13; ; ; ; ; ; ; ; ; ; ;963; ; ; ; ; ; ; ; ;2449;83; ; ; ; ; ; ; ;88; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;3014;4329;4596;2941; ;4;9;7;2;15; ; ; ;1324;11;1;11;11;14; ;13;14;5; ;6;6;2;1; ;36;7;2;52; ; ;2; ; 
