provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3;0;15;0;13;0;6;0;0;8;1;39;0;18;0;25;0;0;16;0;4;0;54;0;0; ; ; ; ; ; ; ;33;0;0;387;0;0;0;0;1936,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;16;1;85;0;58;0;1;0;0;23;1;101;0;44;0;1;0;0;33;2;0;0;74;0;0;9;3;0;0;9;0;0;120;1;0;862,5;0;0;0;0;3280,5;0;0;0;54;1296;19,5;0;0;13,5;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3;0;15;0;5;0;0;0;2;6;0;30;0;6;0;0;0;0;7;0;0;0;14;0;0; ; ; ; ; ; ; ;21;0;9;162;0;69;0;0;987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;1;0;19;0;12;0;8;0;2;9;0;44;0;22;0;18;0;0;24;2;0;0;23;3;0; ; ; ; ; ; ; ;12;0;143;525;0;0;54;0;1857;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;16;0;72;0;37;0;0;0;0;26;1;133;0;47;0;1;0;0;35;4;0;0;90;4;0;10;5; ; ;15;4;0;151;0;0;1078,5;0;0;114;0;6274,5;0;244;0;0;1377;129;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano;0;0;15;0;10;0;0;0;0;9;0;31;0;9;0;0;0;1;8;0;0;0;14;0;8; ; ; ; ; ; ; ;39;0;3;147;0;28,5;0;0;1143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;2;0;13;0;4;0;2;0;0;3;0;10;0;4;0;13;0;1;2;0; ; ;6;0;0; ; ; ; ; ; ; ;12;0;0;159;9;0;0;0;376,5;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;6;0;27;0;19;0;2;0;0;12;1;50;0;23;0;0;0;0;28;1;0;0;61;1;0; ; ; ; ; ; ; ;39;0;0;435;0;0;0;0;2334;9;24;0;1,5;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;2;0;10;0;5;0;2;0;0;5;0;10;0;6;0;9;0;0;9;3; ; ;9;0;0; ; ; ; ; ; ; ;19;0;0;216;3;0;0;0;1132,5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;6;0;25;0;16;0;0;0;0;8;0;31;0;12;0;0;0;0;9;1; ; ;22;0;0;2;0;0;0;3;0;0;50;0;0;319,5;0;0;19,5;0;1011;0;10,5;0;0;472,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Rural;2;0;9;0;6;0;2;0;0;3;0;17;0;8;0;6;0;0;7;0;5;0;23;0;0; ; ; ; ; ; ; ;18;0;0;108;0;0;0;0;595,5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALBERTI;Estatal;Urbano;4;0;18;0;12;0;0;0;0;5;0;25;0;7;0;0;0;0;12;0; ; ;25;0;0; ; ; ; ; ; ; ;27;0;0;219;9;0;22,5;0;1243,5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;129;1;474;0;255;0;0;0;0;274;16;1540;0;277;0;0;1;42;307;18;0;0;831;54;0;19;16;0;0;36;26;0;1099;3;0;11458,5;6;139,5;162;0;47427;21;348;0;133,5;3574,5;367,5;0;0;25,5;0;0;0;0;0;0
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;81;0;393;0;182;3;1;0;48;151;0;752;0;67;0;3;0;13;153;0;147;0;300;0;20;8;0;38;0;2;0;3;681;13;65;9393;0;727,5;0;0;24943,5;0;0;0;265,5;1711;0;68;0;0;0;0;0;0;0;1
Buenos Aires;ARRECIFES;Estatal;Rural;1;0;4;0;4;0;2;0;0;2;0;11;0;1;0;8;0;0;2;0; ; ;3;0;0; ; ; ; ; ; ; ;9;0;1;126;0;0;0;0;223,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ARRECIFES;Estatal;Urbano;12;0;57;0;33;0;0;0;4;20;0;89;0;42;0;0;1;0;29;1;1;0;70;1;0;3;0; ; ;3;0;0;105;0;0;663;9;0;3;0;4339,5;0;8;0;0;280,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AVELLANEDA;Estatal;Urbano;121;1;436;0;231;0;0;0;4;222;3;929;0;245;1;1;0;0;247;7;51;0;742;18;0;67;21;118;0;103;22;5;954;0;0;6744;54;0;300;0;34639,5;73,5;489;18;0;13421,5;867;18;0;0;1;0;0;219;0;0
Buenos Aires;AVELLANEDA;Privado;Urbano;61;0;322;0;197;0;1;0;21;113;0;499;0;34;1;1;0;7;92;0;7;0;189;1;11;14;1;0;0;10;0;0;436;0;67;5325;0;385,5;166,5;0;15480;4,5;42;0;235,5;828;0;0;0;0;0;0;0;4;0;0
Buenos Aires;AYACUCHO;Estatal;Rural;0;0;7;0;3;0;3;0;0;1;0;18;0;18;0;29;0;0;3;0; ; ;5;0;0; ; ; ; ; ; ; ;4;0;0;292,5;0;0;0;0;432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AYACUCHO;Estatal;Urbano;8;0;35;0;24;0;3;0;0;14;0;73;0;28;0;0;0;0;27;2;10;0;86;1;0;6;2;0;0;6;0;0;72;0;0;625,5;0;0;15;0;3657;0;52;0;0;1195;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AZUL;Estatal;Rural;1;0;10;0;1;0;2;0;0;2;0;10;0;2;0;28;0;0;7;0;0;0;3;0;0; ; ; ; ; ; ; ;3;0;0;208,5;0;3;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;AZUL;Estatal;Urbano;25;0;109;0;55;0;0;0;1;41;1;186;0;76;0;1;0;0;58;0;9;0;138;2;16;11;7; ; ;25;1;0;226;0;0;1386;0;0;46,5;0;7512;6;31;0;0;2746,5;61,5;0;0;0;0;0;0;12;0;0
Buenos Aires;AZUL;Privado;Urbano;7;0;40;0;22;0;0;0;9;16;0;67;0;13;0;0;0;0;23;0;0;0;35;0;2;7;0;0;0;1;0;0;56;0;9;943,5;0;18;0;0;3222;0;0;0;0;533;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BAHIA BLANCA;Estatal;Rural; ; ; ; ;1;0;1;0;0;3;0;9;0;6;0;3;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;0;0;108;0;0; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;95;0;430;1;271;1;0;0;5;197;2;918;0;283;0;1;0;10;225;8;40;0;599;14;6;46;5;0;0;94;12;0;922;9;10;6595,5;0;0;4,5;0;31750,5;40,5;143;19;0;8277;459;0;0;117;8;0;0;0;0;0
Buenos Aires;BAHIA BLANCA;Privado;Urbano;43;0;219;0;119;0;0;0;18;61;0;270;0;41;0;2;0;12;67;0;0;0;152;0;15;36;0; ; ;12;0;0;565;0;73;3219;0;331,5;12;0;10623;0;0;0;33;4018;0;75;0;0;0;0;0;0;0;43
Buenos Aires;BALCARCE;Estatal;Rural;0;0;4;0;6;0;6;0;0;7;0;11;0;3;0;11;0;2;8;0; ; ;13;1;0; ; ; ; ; ; ; ;3;0;0;348;0;0;0;0;807;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BALCARCE;Estatal;Urbano;17;0;75;0;44;0;2;0;0;32;0;135;0;42;0;0;0;0;31;0;0;0;101;1;3;8;1; ; ;11;0;0;133;0;0;1053;0;0;0;0;5496;15;55;0;9;1255,5;30;0;0;0;0;0;0;0;0;0
Buenos Aires;BALCARCE;Privado;Rural; ; ;5;0;3;0;1;0;0;1;0;4;0;0;0;1;0;0;4;0;1;1;9;0;0; ; ; ; ; ; ; ;6;0;0;22,5;0;0;0;0;649,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BALCARCE;Privado;Urbano;2;0;15;0;5;0;0;0;0;7;0;33;0;1;0;0;0;8;3;0; ; ;5;0;0; ; ; ; ; ; ; ;46;0;0;289,5;0;40,5;0;0;223,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BARADERO;Estatal;Rural;2;0;8;0;4;0;1;0;0;3;0;26;0;6;0;12;0;0;12;0;0;0;16;0;0; ; ; ; ; ; ; ;22;0;3;328,5;3;0;4,5;0;1258,5;0;39,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BARADERO;Estatal;Urbano;15;0;63;0;25;0;1;0;0;22;0;107;0;24;0;0;0;0;26;0;0;0;68;0;0;6;3;0;0;9;0;0;132;3;0;651;3;0;0;0;4284;0;0;0;0;1042,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BARADERO;Privado;Urbano;2;0;12;0;6;0;1;0;1;8;0;33;0;3;0;0;0;4;6;0;0;0;16;0;0; ; ; ; ; ; ; ;88;0;3;681;0;51;0;0;966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BENITO JUAREZ;Estatal;Rural;1;0;6;0;9;0;4;0;0;4;0;23;0;24;0;1;0;0;2;1; ; ;6;1;0; ; ; ; ; ; ; ;24;0;0;180;0;0;0;0;472,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;10;0;38;0;24;0;0;0;4;13;0;66;0;34;0;0;0;1;25;0;8;0;63;0;0;2;0; ; ; ; ;0;60;0;3;501;0;0;18;0;2967;0;119,5;2;0;204;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BERAZATEGUI;Estatal;Urbano;105;2;396;0;198;3;1;0;1;196;0;959;1;241;0;1;0;24;254;13;8;0;732;18;9;13;5; ; ;23;3;52;812;0;0;7116;33;0;318;0;33631,5;34,5;103;16;10,5;2808;31,5;0;0;0;0;0;0;30;0;2461
Buenos Aires;BERAZATEGUI;Privado;Urbano;47;0;246;0;122;0;1;0;19;93;0;548;0;37;0;0;0;45;85;0;12;0;167;0;10;14;0; ; ;11;0;5;401;0;44;3847,5;0;664,5;0;0;16564,5;0;0;0;405;2387;0;0;0;0;0;0;0;0;0;6
Buenos Aires;BERISSO;Estatal;Urbano;24;1;124;2;75;0;0;0;1;53;2;289;0;97;0;2;0;0;61;0;4;0;184;0;0;10;3; ; ;31;7;0;273;0;0;2139;0;27;81;0;11694;0;16;0;0;1939,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BERISSO;Privado;Urbano;7;0;44;0;15;0;1;0;0;21;1;72;0;17;0; ; ;2;18;0;25;0;31;0;0;2;0; ; ;1;0;0;64;0;0;558;0;27;19,5;0;2661;0;0;0;7,5;318;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BOLIVAR;Estatal;Rural;1;0;12;0;3;0;1;0;0;3;0;15;0;7;0;23;0;0;5;0; ; ;15;0;0;1;0; ; ;1;0;0;9;0;0;202,5;0;0;24;0;609;0;9;0;0;37,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;BOLIVAR;Estatal;Urbano;10;0;52;0;28;0;2;0;2;23;0;100;0;42;0; ; ;0;32;0;4;0;94;0;0;4;3; ; ;7;0;0;96;0;0;720;0;0;0;0;4137;0;189;0;0;1230;0;0;0;0;0;0;0;0;0;0
