provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ; ;276; ; ; ; ; ; ; ; ;677;10; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;533;463; ;972;292;7;27;6; ; ;13; ; ; ;1; ;11;1;6;1;27;6;5; ;1;5;1; ; ;12; ; ;6; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;44; ; ; ; ; ; ; ; ; ; ; ; ; ;1239; ; ; ; ; ; ; ; ;1840; ; ; ; ; ; ; ; ;102;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ;1; ; ; ;1; ;1; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1255;453;92;1792; ;11;12;7;2; ;4; ;141; ;9; ;19;10;7; ;10;9;8; ;5;7;22; ;5;43; ; ;17; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;325; ; ; ; ; ; ; ; ;603; ; ; ; ; ; ; ; ;718; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ;0; ; ; ; ; ;3; ;2; ;3;2;2; ;1;2;4;4; ;5; ; ;5; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;52; ; ; ; ; ; ; ; ; ; ; ; ; ;476; ; ; ; ; ; ; ; ;565; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;907;557;173;1075;95;6;24;8; ;11;8; ;396; ;10; ;8;9;6; ;13;14;3; ;2;2;1; ; ;17; ;1;5; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;39; ; ; ; ; ; ; ; ; ; ; ; ; ;1954; ; ; ; ; ; ; ; ;2975; ; ; ; ; ; ; ; ;227; ; ;5; ; ; ; ; ;3; ; ;2; ;5; ; ; ; ; ; ;1; ; ; ; ; ;4; ;1; ;2; ; ; ;4; ; ;2; ;7; ; ; ;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;3456;587;89;3730;21;9;12;9;2;1;25; ;456; ;11; ;13;11;8; ;9;11;8; ;7;6;11; ; ;32; ; ;25;1;1; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6; ; ; ; ;176; ; ; ; ; ; ; ; ;550; ; ; ; ; ; ; ; ;870; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ;1; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;0; ; ; ;2; ;2;2;3; ;1;3;3; ; ;3;2;1;2;5; ; ;5;3; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;26; ; ; ; ; ; ; ; ; ; ; ; ; ;132; ; ; ; ; ; ; ; ;177; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262;89; ;164; ;6;14;2; ;1;9; ;28; ;6; ;5;5;7; ;7;6;2; ;1;2;2; ; ;6; ; ;2; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19; ; ; ; ; ; ; ; ; ; ; ; ; ;489; ; ; ; ; ; ; ; ;1059; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;5; ; ; ;1;1; ; ;1; ; ; ; ;4; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1049;614; ;1195;247;5;7;7; ; ;1; ;192; ;3; ;5;3;4; ;5;6;5; ;4;5;6; ;1;15; ; ;11; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24; ; ; ; ; ; ; ; ; ; ; ; ; ;110; ; ; ; ; ; ; ; ;283; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;175;90;145;255; ;3;11;4; ;29;6; ; ; ;3; ;5;3;7; ;7;7;2; ;3;3;1; ;1;6; ; ;2; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13; ; ; ; ; ; ; ; ; ; ; ; ; ;343; ; ; ; ; ; ; ; ;387; ; ; ; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;670;130; ;382; ;2;3;3; ; ;2; ;85; ;4; ;3;4;3; ;2;4;3;1; ;3;7; ; ;13; ; ;4; ; ; ; ; 
