provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Chaco;SARGENTO CABRAL;Estatal;Urbano;12;12;12; ; ; ; ; ;8;6;6; ;7;6;9;1;6; ; ; ; ;1;1;2;1;1;1;2;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ;2;5;3;5;5; ; ; ;1; ;2; ; ; ; ; ; 
Chaco;TAPENAGA;Estatal;Rural;16;16;16; ; ; ; ; ;12;3;6; ;10;10;14;1;6; ; ; ; ; ; ; ; ; ; ;1; ; ;1;3; ; ; ; ;2;1; ; ; ; ; ; ; ;10;5;8;8; ; ;1;3; ;1; ; ; ; ; ; 
Chubut;BIEDMA;Estatal;Rural;4;4;3;1; ; ; ; ;3;2;2;1;4;4;4;3;3; ; ; ; ;1;1;1; ;1;1;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ;3; ; ; ; ; ; 
Chubut;BIEDMA;Estatal;Urbano;53;53;53; ; ; ; ; ;50;31;34;6;48;49;47;9;39; ; ; ; ;19;6;7;4;12;14;19;1;6;8;39;7;27;10;14; ; ; ; ; ; ; ; ;3;30;20;10;6;3; ;4;24; ;41; ; ; ; ; ; 
Chubut;BIEDMA;Privado;Urbano;14;14;14;1; ; ; ; ;11;7;8;3;13;11;12;3;8; ; ; ; ;2;2;1;1;4;4;3; ;4;1; ;9;6;1;3; ; ; ; ; ; ; ; ; ; ;14;5;4; ;1; ;6; ;7; ; ;2;2;1; 
Chubut;CUSHAMEN;Estatal;Rural;42;42;39;3; ;3; ; ;31;23;15;9;31;29;33;4;24; ; ; ; ;6; ; ;1;3;4;4; ;2;3;20;11;3;4;3;19;2; ; ; ; ; ; ;1;26;13;9;4;1; ;5;11; ;21; ; ; ; ; ; 
Chubut;CUSHAMEN;Estatal;Urbano;11;11;10;1; ; ; ; ;10;8;8;4;11;9;11;3;7; ; ; ; ;1;1;1; ;2;2;3;1;1; ;7;3; ;1;1;6;3; ; ; ; ; ; ;2;4;4;2;1; ; ;1;4; ;5; ; ; ; ; ; 
Chubut;Enmascarado;Estatal;Rural;13;11;10;1; ;1; ; ;8;6;7;2;11;8;10;2;5; ; ; ; ;1;1; ; ;2;1; ; ;1; ;7;1;1; ;1;6; ; ; ; ; ; ; ;2;5;1;3;1; ; ;2;3; ;5; ; ; ; ; ; 
Chubut;Enmascarado;Estatal;Urbano;9;9;9; ; ; ; ; ;8;3;4;1;8;8;8;3;6; ; ; ; ;4;1;1; ;4;3;1; ; ;2;1;3;1; ;2;2; ; ; ; ; ; ; ;2;4;2;1;1; ; ; ;3; ;7; ; ; ; ; ; 
Chubut;Enmascarado;Privado;Rural;1;1;1; ; ; ; ; ;1;1;1; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ;1; 
Chubut;Enmascarado;Privado;Urbano;6;6;6; ; ; ; ; ;5;5;4;2;4;5;5;2;4; ; ; ; ; ; ;1;1;2;1;2;1;1;3; ;4;4; ; ;1; ; ; ; ; ; ; ;1;1;4;2;2; ; ; ;2; ;5; ; ; ; ;3; 
Chubut;ESCALANTE;Estatal;Urbano;123;122;122; ; ; ; ; ;110;96;73;21;104;107;112;30;90; ; ; ; ;46;30;17;7;37;38;34;9;24;22;72;26;35;18;22;17;16; ; ; ; ; ; ;28;66;26;24;13;4;3;10;52; ;73; ; ; ; ; ; 
Chubut;ESCALANTE;Privado;Urbano;50;50;50; ; ; ; ; ;44;36;33;21;44;45;43;15;37; ; ; ; ;12;12;11;10;15;13;18;5;11;8;4;37;17;19;11; ;2; ; ; ; ; ; ;2;1;39;18;8;9;6;7;28; ;26; ; ;1;7;5;1
Chubut;FUTALEUFU;Estatal;Rural;17;17;17; ; ; ; ; ;12;8;6;3;11;11;13;1;8; ; ; ; ;2;1;2; ;4;2;4; ;3;1;11;1; ; ; ;10;2; ; ; ; ; ; ;1;8;8;4;1; ; ;3;6; ;6; ; ; ; ; ; 
Chubut;FUTALEUFU;Estatal;Urbano;46;46;46; ; ; ; ; ;36;25;24;10;39;33;41;6;34; ; ; ; ;10;6;5;1;11;9;14;1;11;5;23;8;19;5;6;2; ; ; ; ; ; ; ;8;23;15;7;3;2; ;4;17; ;29; ; ; ; ; ; 
Chubut;FUTALEUFU;Privado;Urbano;8;7;7; ; ; ; ; ;7;2;3; ;6;5;7;2;6; ; ; ; ;2; ; ; ;1;1;3;2;2;1; ;6;3; ;2;1;1; ; ; ; ; ; ;2; ;3;3;1;1;2;1;1; ;4; ; ;1;3;3; 
Chubut;GAIMAN;Estatal;Rural;9;9;9; ; ; ; ; ;9;7;5;2;8;8;9;2;5; ; ; ; ;3;2;1;1;2;3;1;1;2;2;4;1; ;1; ;3;1; ; ; ; ; ; ;1;6;1;4;1; ;3;2;4; ;7; ; ; ; ; ; 
Chubut;GAIMAN;Estatal;Urbano;8;8;8; ; ; ; ; ;7;7;2; ;8;7;8;4;6; ; ; ; ;3; ; ; ; ;2;2;2;3;1;1;1;1; ; ; ;1; ; ; ; ; ; ; ;6;2; ; ; ; ; ;2; ;6; ; ; ; ; ; 
Chubut;GASTRE;Estatal;Rural;9;9;6;4; ; ; ; ;7;3;4;1;7;7;7; ;3; ; ; ; ; ; ; ; ;1;1;1; ; ;1;6; ; ; ; ;6; ; ; ; ; ; ; ;1; ;7; ; ; ; ; ; ; ;3; ; ; ; ; ; 
Chubut;LANGUIÑEO;Estatal;Rural;11;11;10;1; ;1; ; ;9;6;4;2;9;9;9;2;4; ; ; ; ;7;1;1; ;3;4;4; ;2; ;9; ; ; ; ;7;2; ; ; ; ; ; ;1;4;5;2;1;2; ;1;6; ;6; ; ; ; ; ; 
Chubut;PASO DE INDIOS;Estatal;Rural;5;4;2;2; ;1; ; ;4;4;1; ;4;4;4;1;2; ; ; ; ;1; ; ; ;1;1; ; ;1;1;4; ; ;1; ;4; ; ; ; ; ; ; ;2; ;1;1;1; ; ; ;3; ;2; ; ; ; ; ; 
Chubut;RAWSON;Estatal;Rural;4;4;4; ; ; ; ; ;4;4;3;1;4;4;3;1;4; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;3;1; ; ; ; ; ; ;1; ;2; ; ; ; ; ; 
Chubut;RAWSON;Estatal;Urbano;113;113;113; ; ; ; ; ;102;75;55;19;107;94;103;19;73; ; ; ; ;36;22;18;4;34;32;41;8;22;17;61;17;45;14;21; ;3; ; ; ; ; ; ;17;66;25;33;11;11;3;18;55; ;69; ; ; ; ; ; 
Chubut;RAWSON;Privado;Urbano;30;30;30; ; ; ; ; ;28;21;14;11;29;25;29;11;27; ; ; ; ;7;4;5;2;8;10;9;2;5;7; ;23;12;7;4;1;1; ; ; ; ; ; ; ;1;21;8;3;3;5;1;19; ;17; ;1;7;5;4;1
Chubut;RIO SENGUER;Estatal;Rural;14;13;13; ; ; ; ; ;13;8;11;4;11;13;13;3;9; ; ; ; ;3; ; ; ; ;1;1; ; ; ;10;2;3; ; ;9; ; ; ; ; ; ; ; ;9;3;1; ; ; ;1;3; ;5; ; ; ; ; ; 
Chubut;SARMIENTO;Estatal;Urbano;11;11;11; ; ; ; ; ;7;6;4; ;9;7;9;3;6; ; ; ; ;8;3;2; ;5;5;3;2;2;3;1;7;2;2;2; ;2; ; ; ; ; ; ;2;8;1;1; ; ; ;1;3; ;7; ; ; ; ; ; 
Chubut;TEHUELCHES;Estatal;Rural;7;7;7; ; ; ; ; ;5;5;4;2;6;4;6;2;7; ; ; ; ;2;1; ; ;1;2;1; ;1;1;7; ;1; ;1;5; ; ; ; ; ; ; ;1;2;3; ; ; ; ; ;3; ;5; ; ; ; ; ; 
Chubut;TELSEN;Estatal;Rural;7;7;4;3; ;1; ; ;6;7;7;1;6;6;7;2;7; ; ; ; ;2; ; ; ;1;2;2; ;1;1;7; ;1; ; ;7; ; ; ; ; ; ; ;1;1;2;1;1; ; ; ;4; ;5; ; ; ; ; ; 
