provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;25 DE MAYO;Estatal;Rural;1°; ; ; ; ; ; ;112;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;59;25;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Rural;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;46;25;2; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13;46;31;4; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;25 DE MAYO;Estatal;Rural;2°; ; ; ; ; ; ;2;105;7;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;3°; ; ; ; ; ; ; ;8;127;18;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;4°; ; ; ; ; ; ; ; ; ;99;16;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;5°; ; ; ; ; ; ; ; ; ; ;114;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;6°; ; ; ; ; ; ; ; ; ; ;1;92;11;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;7°; ; ; ; ; ; ; ; ; ; ; ; ;106;42;7; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;8°; ; ; ; ; ; ; ; ; ; ; ; ;1;76;39;9;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;9°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;66;44;6;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;Sala de 2; ; ;63; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Rural;Sala de 3; ; ; ;82; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
