provincia;departamento;sector;ambito;ini_dir_cub;ini_dir_ncub;ini_fte_cub;ini_fte_ncub;ini_apo_cub;ini_apo_ncub;ini_pu_cub;ini_pu_ncub;ini_nopof;pri_dir_cub;pri_dir_ncub;pri_fte_cub;pri_fte_ncub;pri_apo_cub;pri_apo_ncub;pri_pu_cub;pri_pu_ncub;pri_nopof;sec_dir_cub;sec_dir_ncub;sec_fte_cub;sec_fte_ncub;sec_apo_cub;sec_apo_ncub;sec_nopof;snu_dir_cub;snu_dir_ncub;snu_fte_cub;snu_fte_ncub;snu_apo_cub;snu_apo_ncub;snu_nopof;ini_hs_cub;ini_hs_ncub;ini_hs_nopof;pri_hs_cub;pri_hs_ncub;pri_hs_nopof;sec_hs_pro_cub;sec_hs_pro_ncub;sec_hs_docente_cub;sec_hs_docente_ncub;sec_hs_otros_cub;sec_hs_otros_ncub;sec_hs_fuera;snu_hs_dic_cub;snu_hs_dic_ncub;snu_hs_cap_cub;snu_hs_cap_ncub;snu_hs_com_cub;snu_hs_com_ncub;snu_hs_inv_cub;snu_hs_inv_ncub;snu_hs_otr_cub;snu_hs_otr_ncub;snu_hs_fuera
Buenos Aires;25 DE MAYO;Estatal;Rural;3; ;17; ;12; ;5; ; ;9; ;31; ;13; ;25; ; ;15; ;17; ;46; ; ; ; ; ; ; ; ; ;22; ; ;255;0;0;8;0;1557;0;245,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Estatal;Urbano;14; ;60; ;27; ;1; ; ;20;1;105; ;38; ;1; ; ;23; ;1; ;81; ; ;7;1; ; ;9; ; ;116; ;21;1045,5;4,5;0;0;0;3181,5;0;77;0;21;1216,5;0;0;0;0;0;0;0;0;0;0
Buenos Aires;25 DE MAYO;Privado;Urbano;3; ;20; ;13; ;2; ; ;7; ;33; ;7; ;1; ;2;7; ; ; ;9; ;6; ; ; ; ; ; ; ;36; ;9;456;0;18;0;0;796,5;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Rural;2; ;17; ;11; ;7; ; ;9; ;44; ;22; ;23;1; ;17;1; ; ;24;2; ; ; ; ; ; ; ; ;9; ; ;486;27;0;14;0;1264,5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Estatal;Urbano;15;1;70; ;24; ; ; ; ;27; ;128; ;40; ; ; ; ;32;7; ; ;98;7; ;13;2; ; ;12;4; ;147; ; ;895,5;60;0;39;0;5395,5;7,5;96;0;0;1936,5;70,5;18;0;0;0;0;0;0;0;0
Buenos Aires;9 DE JULIO;Privado;Urbano; ; ;15; ;6; ; ; ;1;8; ;29; ;4; ; ; ; ;6; ; ; ;12; ; ; ; ; ; ; ; ; ;30; ;19;138;0;129;0;0;844,5;0;0;0;61,5;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1; ;13; ;5; ;2; ; ;4; ;13; ;5; ;17; ;1;2; ; ; ;4; ; ; ; ; ; ; ; ; ;12; ; ;117;6;0;0;0;507;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;7; ;24; ;13; ;2; ; ;23;1;45; ;15; ; ; ; ;15; ;4; ;53;1; ; ; ; ; ; ; ; ;54; ; ;360;0;0;264;0;1639,5;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO ALSINA;Privado;Urbano; ; ;5; ;2; ; ; ;1;3; ;9; ;3; ; ; ; ;5; ; ; ;8; ; ;2; ; ; ;1; ; ;8; ; ;66;0;0;0;0;558;0;3;0;0;203;0;0;0;0;0;0;0;0;0;0
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;1; ;8; ;4; ;2; ; ;3; ;10; ;4; ;11; ; ;13; ; ; ;14; ; ; ; ; ; ; ; ; ;12; ; ;117;12;0;0;0;771;0;20,5;0;0;0;0;0;0;0;0;0;0;0;0;0
