provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;BoliviaInicial;BrasilInicial;ChileInicial;ParaguayInicial;PerúInicial;UruguayInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ParaguaySNU;PerúSNU;UruguaySNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaCopadeleche;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Santa Fe;BELGRANO;Estatal;Rural;21; ; ; ; ; ; ; ; ; ; ; ; ;33; ; ; ; ; ; ; ;119; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;250;134; ;84;1;14;1; ;2;55; ;4; ;1;4;12; ;2;13;1;1; ;1; ; ; ;10; ;7; ; ; ; ; ; 
Santa Fe;BELGRANO;Estatal;Urbano;37; ; ; ; ; ; ; ; ; ; ; ; ;921; ; ;40; ; ; ; ;1294; ; ; ; ; ;532; ;57; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1;1;4; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;4233;318; ;18;5;15;7;1;13; ; ;11; ;8;11;14; ;12;14;8; ;4;9;8; ; ;26; ;8;2; ; ; ; ; 
Santa Fe;BELGRANO;Privado;Urbano;7; ; ; ; ; ; ; ;65; ; ; ; ;76; ; ;143; ; ;14; ;406; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;1; ; ; ; ; ;3; ;2; ;3;2;4; ; ;4;1; ; ;3; ; ; ; ;1; ; ; 
Santa Fe;CASEROS;Estatal;Rural;19; ; ; ; ; ; ; ; ; ; ; ; ;97; ; ; ; ; ; ; ;181; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;570;65; ; ;2;13;3; ; ; ; ;2; ;4;2;11; ;6;11;3; ;1;3;1; ;4;6;1;1; ; ; ; ; ; 
Santa Fe;CASEROS;Estatal;Urbano;59; ; ; ; ; ; ; ; ; ; ; ; ;744; ; ; ; ; ; ; ;3386; ; ; ; ; ;82; ;53; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ;1; ; ;9; ;2;3;3; ; ; ; ;1;4; ;3;1;3; ; ; ; ;1; ; ; ; ; ; ; ;5378;962; ;202;13;20;16;1;23; ; ;13; ;16;13;20; ;19;20;13;1;7;16;2;1;4;22; ;9;1;1;4; ; ; 
Santa Fe;CASEROS;Privado;Urbano;17; ; ; ;1; ; ; ; ; ; ; ; ;357; ; ; ; ; ; ; ;1245; ; ; ; ; ; ; ;28; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ;1; ;6; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ;1;6;9;2;7; ; ;2; ;6;2;5; ;6;5;5;1; ;9;1; ;2;6; ;6; ; ; ; ; ; 
Santa Fe;CASTELLANOS;Estatal;Rural;111; ;1;1; ; ; ; ; ; ; ; ; ;338; ; ; ; ; ; ; ;998; ; ; ; ; ;52; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3755;550; ; ;11;75;15; ;13; ;18;41; ;19;42;65; ;37;67;13; ;5;13;1; ;1;28; ;9; ; ;3; ; ; 
Santa Fe;CASTELLANOS;Estatal;Urbano;97; ;3;1; ; ; ; ; ; ; ; ; ;1631; ; ;28; ; ;35; ;6460;271; ; ; ; ;915; ;436; ; ; ; ; ; ; ;6; ; ; ; ; ; ;3; ; ;20;1;1;2; ;1;9;6; ; ;11;1;1;3;2;3;3;3; ;1; ; ; ; ; ; ; ;1; ; ;13013;2892; ;80;27;43;16;2;38; ; ;39; ;40;40;40; ;41;40;12; ;9;16;4;2;11;142;16;114;9;1;13; ; ; 
Santa Fe;CASTELLANOS;Privado;Rural;7; ; ; ; ; ; ; ; ; ; ; ; ;38; ; ; ; ; ; ; ;548; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;544;177; ; ;1;2;4; ; ; ; ;2; ;2;2;2; ;1;2;2; ;1;3; ; ;1; ; ; ; ; ; ; ; ; 
Santa Fe;CASTELLANOS;Privado;Urbano;28; ; ; ; ;88; ; ; ; ; ; ; ;371; ; ; ; ; ; ; ;1761; ; ; ; ; ;574; ;103; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;1; ;2; ; ; ;1; ;1;1; ; ;1;1;2; ; ; ; ; ; ; ; ; ; ; ;634;231; ; ;4;7;11;2;7;193; ;6; ;6;6;5; ;5;6;7; ;4;8;2;5;1;1;18;1;1;4;5; ; ; 
