provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;BoliviaInicial;BrasilInicial;ChileInicial;ParaguayInicial;PerúInicial;UruguayInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ParaguaySNU;PerúSNU;UruguaySNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaCopadeleche;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ;264; ; ; ; ; ; ; ;547; ; ; ; ; ;29; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1193;526;363;362; ; ; ; ;1; ; ;1; ;11;1;5; ;28;5;4; ;1;5;2; ; ;6; ; ;7; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;41; ;2; ; ;419; ; ; ; ; ; ; ;836; ; ; ; ; ; ; ;1838; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ;1; ; ; ;2; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2850;405;16;155; ; ; ; ;9;173; ;7; ;16;8;6; ;10;8;6; ;5;8;5; ;1;22; ; ;8; ;1; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;12; ; ; ; ;205; ; ; ; ; ; ; ;752; ; ; ; ; ; ; ;398; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;45; ; ; ; ; ; ; ; ; ; ;1; ;5;1;3; ;3;3;2; ;1;2; ; ; ;4; ;1;2; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;57;1; ; ; ; ; ; ; ; ; ; ; ;532; ; ; ; ; ; ; ;449; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1355;605;353;226; ; ; ; ;3;446; ;12; ;5;6;15; ;11;19;3; ;6;2;4;1;1;8; ;1;2; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;42; ; ; ; ; ; ; ; ; ; ; ; ;1630; ; ; ; ; ; ; ;2915; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2; ;1;2; ; ; ;1; ; ;1; ; ;3; ; ; ; ; ; ;1; ;1; ; ; ; ;3759;559;824;21; ; ; ; ;2;477; ;12; ;14;7;8; ;8;11;8; ;9;7;22; ; ;19; ; ;14; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;5; ; ; ; ;53; ; ; ; ; ; ; ;681; ; ; ; ; ; ; ;686; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;2;3;3; ;1;3;2; ; ;2;2; ; ;5;1;1;3;1; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;32; ; ; ; ; ; ; ; ; ; ; ; ;135; ; ; ; ; ; ; ;165; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;578;156; ; ; ; ; ; ;1;36; ;5; ;7;4;8; ;11;8;2; ;1;2; ; ; ;3; ; ;2; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;17; ;3; ; ; ; ; ; ; ; ; ; ;485; ; ; ; ; ; ; ;721; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1; ;2; ; ; ;1; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1918;485;302;210; ; ; ; ;1;133; ;3; ;5;3;4; ;6;6;5; ;2;4;2; ;1;13; ;4;9; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Privado;Urbano;5; ; ; ; ; ; ; ; ; ; ; ; ;103; ; ; ; ; ; ; ;238; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;57;42; ; ; ; ; ; ; ; ; ;1; ;1;1;1; ;2;1;1; ;1;1; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;25; ; ; ; ; ; ; ; ; ; ; ; ;122; ; ; ; ; ; ; ;268; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;518;209;36;73; ; ; ; ;1; ; ;2; ;6;2;7; ;7;7;2; ;2;2; ; ; ;4; ; ;1; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;12; ; ; ; ; ; ; ; ; ; ; ; ;373; ; ; ; ; ; ; ;316; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1196;137; ; ; ; ; ; ; ;99; ;4; ;3;4;3; ;3;4;2; ; ;2;3; ;1;4; ; ;14; ;3; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;19; ; ; ; ; ; ; ; ; ; ; ; ;128; ; ; ; ; ; ; ;195; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;518;160;95;95; ; ; ; ; ;19; ;1; ;5; ;4; ;6;3;2; ; ;2; ; ; ;4; ; ; ; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;11; ; ; ; ; ; ; ; ; ; ; ; ;258; ; ; ; ; ; ; ;349; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;512;246;438; ; ; ; ; ;1;86; ;1; ;4;1;2; ;2;3;3; ;1;4;6; ; ;12; ; ;10; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;232;3;67;4; ; ; ; ; ; ; ; ; ;19837; ; ; ; ; ; ; ;29770;47;47; ; ; ; ; ; ; ; ; ; ; ; ; ;23;1;3;35;9;1;3;8;1; ;233;5;12;478;35;26;10;6;4; ;133;6;6;275;26;19;5;6; ;1;6;2;2;8;1;3;2; ; ; ;51232;12478;5261;129; ; ; ; ;1112;681; ;54; ;54;54;80; ;79;82;93; ;87;86;87;17;33;225;14;12;44;4;15;3; ;1
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;184; ; ;1; ;2963; ; ; ; ; ; ; ;19496; ; ; ; ; ; ; ;9902; ;63; ; ; ;555; ; ; ; ; ; ; ; ; ;1; ; ;13;5; ;3;8;2;1;5;2;8;44;8;10;26;19;5;2;12;2; ;74;22;4;3;10;4; ;9; ;1;7;1;2; ; ; ; ;372; ;309; ; ; ; ; ;60;270; ;60; ;61;62;44; ;43;45;52; ;24;53;20;36;7;39;68;407;22;14;4; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;14; ; ; ; ; ; ; ; ; ; ; ; ;121; ; ; ; ; ; ; ;122; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;352;147; ; ; ; ; ; ;1; ; ;1; ;3;1;4; ;7;4;1; ; ;1;1; ; ;5;1; ;6; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;35; ; ;317; ; ; ; ; ; ; ; ; ;1252; ; ; ; ; ; ; ;1938; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ;2; ; ;3; ; ;7; ; ; ; ; ; ;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4053;1011;332; ; ; ; ; ;5;140; ;8; ;9;9;6; ;8;7;12; ;7;11;13; ;1;15; ;2;8; ; ; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;200; ;11; ;1; ; ; ; ; ; ; ; ;11279; ; ; ; ; ; ; ;19794; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;36;1;2;74;44;11;3;11;1; ;122;10;10;532;126;53;20;3;1; ;86;7;8;401;140;36;28;2;2;5;22;2;3;9;14;5;14;4; ; ;25350;8162;1736; ; ; ; ; ;151;42; ;66; ;64;71;52; ;50;53;60; ;60;58;63;13;12;168;7;5;73;4;3; ; ; 
Buenos Aires;AVELLANEDA;Privado;Urbano;116; ; ; ; ;3054; ; ; ; ; ; ; ;12876; ; ; ; ; ; ; ;8568; ;29; ; ; ;167; ; ; ; ; ; ; ; ; ;1;1; ;8;3;1;1;10;1; ;10;8;3;26;17;3;16;15;2; ;7;2;2;33;16;6;7;3; ;2;17; ; ;23;6;1;3;1;1; ;486; ; ; ; ; ; ; ; ;1472;57;39; ;39;40;29; ;24;32;30; ;15;29;21;19;5;41;40;4;17;12;3; ;1; 
Buenos Aires;AYACUCHO;Estatal;Rural;38; ;1; ; ; ; ; ; ; ; ; ; ;146; ; ; ; ; ; ; ;110; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;406;168;20; ; ; ; ; ;14; ; ;1;3; ;1;9;11;10;9;3; ;1;3; ; ; ;11; ; ; ; ; ; ; ; 
Buenos Aires;AYACUCHO;Estatal;Urbano;23; ; ; ; ; ; ; ; ; ; ; ; ;972; ; ; ; ; ; ; ;1187; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1; ;1; ; ; ; ; ;14; ; ; ;1; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1044;304;12;12; ; ; ; ; ;63; ;5; ;6;4;4; ;5;5;5; ;5;4;8; ; ;5; ; ;2;1;1; ; ; 
Buenos Aires;AZUL;Estatal;Rural;45; ;1; ; ;6; ; ; ; ; ; ; ;209; ; ; ; ; ; ; ;87; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;4;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;380;121;47; ; ; ; ; ;6; ; ;5; ;3;2;9; ;23;9;3; ; ;4; ; ; ;8;3;5;2; ; ; ; ; 
Buenos Aires;AZUL;Estatal;Urbano;63; ; ; ; ; ; ; ; ; ; ; ; ;2026; ; ; ; ; ; ; ;2802; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4; ; ;1; ;1; ;2; ;1;22; ; ;2; ; ; ; ; ;1;1;1; ;4; ; ; ; ; ; ;2;1; ; ;1; ; ;4048;1306;304; ; ; ; ; ;11;356; ;16; ;20;14;14; ;16;18;13; ;9;13;15;6; ;71;3;2;7; ; ; ; ; 
Buenos Aires;AZUL;Privado;Urbano;27;1; ; ; ;184; ; ; ; ; ; ; ;1440; ; ; ; ; ; ; ;1231; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1;1; ; ; ;2; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;229;69; ; ; ; ; ; ; ; ; ;7; ;7;7;6; ;6;6;9; ;3;9;2;5;1;6;4;1;1;2; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Rural;9; ; ; ; ; ; ; ; ; ; ; ; ;107; ; ; ; ; ; ; ;62; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24;69;4; ; ; ; ; ;1;30; ;1; ; ;1;5; ;1;6;1; ; ;1; ; ;1;3;1; ; ; ; ; ; ; 
Buenos Aires;BAHIA BLANCA;Estatal;Urbano;207; ;12;5;9; ; ; ; ; ; ; ; ;9954;51; ;93; ; ; ; ;13264; ;48;106;5; ;1867; ; ; ; ; ; ; ; ; ;3;4;3;12; ; ;5;5; ; ;30;10;13;46;3;1;10;4; ;1;39;3;31;15;8;4;5;8; ;1;6;1;14; ;2; ; ; ; ; ;18700;3477;471;460; ; ; ; ;127;104; ;58; ;53;58;61; ;63;63;67; ;48;66;71;10;20;260;5;9;73;9;20;1; ;3
Buenos Aires;BAHIA BLANCA;Privado;Urbano;82; ; ; ;1;1278; ; ; ; ; ; ; ;5632; ; ; ; ; ;160; ;5301; ; ; ; ; ;256; ; ; ; ; ; ; ; ; ; ;1;1;1; ; ;7;9; ; ; ;1;6;1; ;1;17;11;2;2; ;2;2; ;2; ;3;6;1;4;1; ;6; ;3; ;1;4; ; ;626; ; ; ; ; ; ; ; ;271;49;23; ;30;22;12; ;15;13;23; ;1;23;21;4;6;19;21;5;16;2;4; ; ;2
Buenos Aires;BALCARCE;Estatal;Rural;37; ; ; ; ; ; ; ; ; ; ; ; ;142; ; ; ; ; ;44; ;254; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;457;138;9; ; ; ; ; ;5; ; ;2;3;2;2;10;5;11;10;2; ;2;2; ; ; ;8;2; ;2; ; ; ; ; 
Buenos Aires;BALCARCE;Estatal;Urbano;43;8; ; ; ; ; ; ; ; ; ; ; ;1544; ; ; ; ; ;268; ;2894; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9; ;1;4; ; ; ;2; ; ;17; ; ;17; ;1;3;1; ; ;4; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2215;633;80; ; ; ; ; ;4;80; ;10; ;15;10;11; ;10;12;10;1;8;11;9; ;1;48; ;1;17;1; ; ; ; 
Buenos Aires;BALCARCE;Privado;Rural;5; ; ; ; ; ; ; ; ; ; ; ; ;38; ; ; ; ; ; ; ;110; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;107;110; ; ; ; ; ; ; ; ; ;1; ;1;1;2; ; ;2;2; ;1;2; ; ; ;6; ; ;5; ;1; ; ; 
Buenos Aires;BALCARCE;Privado;Urbano;4; ; ; ; ; ; ; ; ; ; ; ; ;621; ; ; ; ; ; ; ;306; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ;2; ;3;2;2; ; ;2;1; ; ;1; ; ; ; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Rural;26;1; ; ; ; ; ; ; ; ; ; ; ;284; ; ; ; ; ; ; ;328; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;394;235;157;87; ; ; ; ;8;71; ;2;1;3; ;3;2;10;4;1;1;3;1; ; ; ;12;2;2;1; ; ; ; ; 
Buenos Aires;BARADERO;Estatal;Urbano;37;7; ; ; ; ; ; ; ; ; ; ; ;1442; ; ; ; ; ; ; ;1748; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;3; ; ; ; ; ; ;4; ; ;2;1;1; ; ;2; ;6; ;1;9;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1821;203; ; ; ; ; ; ;9;99; ;5; ;15;5;5; ;9;6;9;1;5;9;8;2;3;21; ; ;19; ; ; ; ; 
Buenos Aires;BARADERO;Privado;Urbano;8; ; ; ; ;21; ; ; ; ; ; ; ;420; ; ; ; ; ; ; ;749; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;21; ; ; ; ; ; ; ; ;1; ;4;1; ; ;2; ;2; ; ;2; ; ;1;2;5; ; ; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Rural;12;1; ; ; ; ; ; ; ; ; ; ; ;164; ; ; ; ; ; ; ;46; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;361;380;152; ; ; ; ; ; ; ; ;1; ;5;1;1; ;5;1;1; ;1;1;1; ; ;1; ; ; ; ; ; ; ; 
Buenos Aires;BENITO JUAREZ;Estatal;Urbano;18; ; ; ; ; ; ; ; ; ; ; ; ;722; ; ; ; ; ; ; ;1387; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1;1; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2697;683;60;17; ; ; ; ;1; ; ;4; ;4;4;5; ;6;5;5; ;7;5;4;1; ;3;2; ;7; ; ; ; ; 
Buenos Aires;BERAZATEGUI;Estatal;Urbano;181; ;14;1; ; ; ; ; ; ; ; ; ;11560; ; ; ; ; ; ; ;16938; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;51; ; ;39;3; ;3;4;1;2;294; ;2;227;13;11;9;5;1; ;256; ; ;203;17;7;4; ; ; ;1; ; ; ; ; ; ; ; ; ;19809;7529;4020;171; ; ; ; ;261;518; ;52; ;50;52;53; ;53;56;53; ;57;56;75;17;12;65;10;12;8;1;9; ; ; 
Buenos Aires;BERAZATEGUI;Privado;Urbano;108; ; ; ; ;3001; ; ;216; ; ; ; ;11951; ; ;454; ; ; ; ;7308; ; ;39; ; ;621; ; ; ; ; ; ; ; ; ;3;3; ;1;2;1;13;6; ; ;3;8;3;30;1;4;18;12;3;1;12;1;2;31;5;1;7;7;8; ;10; ; ;4;2;5; ; ; ; ; ; ; ; ; ; ; ; ;2;490; ;36; ;39;36;31; ;30;33;25; ;18;26;11;22;5;34;30;13;2;1;2; ; ;1
Buenos Aires;BERISSO;Estatal;Urbano;60; ;6;12; ; ; ; ; ; ; ; ; ;3541; ; ; ; ; ; ; ;6252; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;1; ;23;17;2; ;1; ; ;41;3;2;104;81;1; ; ; ; ;21;1; ;67;68;2;1; ; ;1; ;1;4; ;1; ; ; ; ; ;10655;3946;1159; ; ; ; ; ;55;498; ;14; ;15;14;16; ;16;19;20; ;17;21;34;1;2;83;2;2;23; ;1;2; ; 
Buenos Aires;BERISSO;Privado;Urbano;20; ; ; ; ;92; ; ; ; ; ; ; ;1063; ; ; ; ; ; ; ;1446; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ;2; ;1;3;1; ; ; ; ; ;6;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;231;192; ; ; ; ; ; ; ;192; ;6; ;8;6;4; ;6;5;8; ;1;8;7;2; ;2; ; ; ;1; ; ; ; 
Buenos Aires;BOLIVAR;Estatal;Rural;41;21; ; ; ; ; ; ; ; ; ; ; ;178; ; ; ; ; ; ; ;252; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;456;118; ; ; ; ; ; ;7; ; ;3; ;7;3;12; ;16;10;1; ;4;1;1; ;1;5;1;1;3; ;3; ; ; 
Buenos Aires;BOLIVAR;Estatal;Urbano;39; ;4; ; ; ; ; ; ; ; ; ; ;1026; ; ; ; ; ; ; ;1849; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;2; ;1; ; ; ; ; ; ;1;15; ;1;2;1; ; ;2; ; ;7; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3131;499; ;48; ; ; ; ;1;182; ;8; ;15;5;7; ;8;9;8; ;5;7;8; ;1;34; ; ;7; ; ; ; ; 
Buenos Aires;BOLIVAR;Privado;Urbano;7; ; ; ; ;95; ; ; ; ; ; ; ;557; ; ; ; ; ; ; ;551; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;2; ;2; ; ;2;4;4; ;10; ; ;6;1; ; ; ; 
Buenos Aires;BRAGADO;Estatal;Rural;28; ; ; ; ; ; ; ; ; ; ; ; ;225; ; ; ; ; ; ; ;150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;499;215; ; ; ; ; ; ; ;160; ;2; ;8;2;2; ;11;4;2; ;2;2; ; ; ;12; ;1; ; ; ; ; ; 
Buenos Aires;BRAGADO;Estatal;Urbano;30; ;1; ; ; ; ; ; ; ; ; ; ;1955; ; ; ; ; ; ; ;2167; ; ; ; ; ;605; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ;7;1; ;2; ; ; ; ;1; ; ; ; ; ; ; ;2;1; ; ; ; ; ; ; ; ; ;3033;658;248;46; ; ; ; ;6;345; ;9; ;9;9;7; ;8;10;9;1;3;8;11;1; ;68;1; ;17; ;2; ; ; 
Buenos Aires;BRAGADO;Privado;Urbano;5; ; ; ; ; ; ; ; ; ; ; ; ;383; ; ; ; ; ; ; ;561; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1; ;1;1;3; ;1;3; ; ; ;1; ; ;6;3; ; ; ; 
Buenos Aires;BRANDSEN;Estatal;Rural;27; ; ;18; ; ; ; ; ; ; ; ; ;204; ; ; ; ; ; ; ;314; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;1; ; ; ; ; ; ;16; ; ;11; ;1;1; ; ; ;15; ; ;7; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;619;621;65;65; ; ; ; ;6; ; ;7; ;3;7;11; ;2;11;3; ;4;2;1; ; ;1; ;1; ; ; ; ; ; 
Buenos Aires;BRANDSEN;Estatal;Urbano;24;16; ; ; ; ; ; ; ; ; ; ; ;1247; ; ; ; ; ; ; ;1826; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;4; ; ; ; ;1; ;10; ; ;16; ;1; ;1; ; ;16; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ;2411;951; ; ; ; ; ; ;1; ; ;8; ;6;8;6; ;6;6;8; ;6;8;6;2; ;14; ;2;1; ; ; ; ;1
Buenos Aires;BRANDSEN;Privado;Urbano;7; ; ; ; ; ; ; ; ; ; ; ; ;523; ;13; ; ; ; ; ;431; ; ; ; ; ;51; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1; ;3;1;2; ; ;2; ; ; ;6; ; ;1;2; ; ; ; 
