provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialHebreo;IdiomasInicialLenguaindígena;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaHebreo;IdiomasPrimariaLenguaindígena;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaHebreo;IdiomasSecundariaLenguaindígena;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUHebreo;IdiomasSNULenguaindígena;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConseguimientodocenteestatalInicial;DiscapacidadConseguimientodocenteprivadoInicial;DiscapacidadSinseguimientodocenteInicial;DiscapacidadConseguimientodocenteestatalPrimaria;DiscapacidadConseguimientodocenteprivadoPrimaria;DiscapacidadSinseguimientodocentePrimaria;DiscapacidadConseguimientodocenteestatalSecundaria;DiscapacidadConseguimientodocenteprivadoSecundaria;DiscapacidadSinseguimientodocenteSecundaria;DiscapacidadConseguimientodocenteestatalSNU;DiscapacidadConseguimientodocenteprivadoSNU;DiscapacidadSinseguimientodocenteSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;50; ; ; ; ; ; ; ; ; ; ; ; ; ;349; ; ; ; ; ; ; ; ;680;12; ; ; ; ;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;563;466;6;965;308;9;16;6; ; ; ; ; ; ;1; ;11;1;6; ;27;6;4; ;1;5;2; ; ;9; ; ;4; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;43;2; ; ; ;22; ; ; ; ; ; ; ; ;1250; ; ; ; ; ; ; ; ;1864; ; ; ; ; ; ; ; ;71;22; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1058;445;76;1322; ;11;12;8;2;1; ; ;146; ;9; ;18;10;6;1;11;8;8; ;5;8;12; ; ;34; ;1;21; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;11; ; ; ; ;312; ; ; ; ; ; ; ; ;625; ; ; ; ; ; ; ; ;713; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;3; ; ; ; ; ; ; ; ;4; ;3; ;3;3;2; ;1;2;2;3; ;10;1; ;2; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;55; ; ; ; ; ; ; ; ; ; ; ; ; ;563; ; ; ; ; ; ; ; ;448; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1063;642;17;1092;100;6;20;7; ;10; ; ;463; ;13; ;5;7;13; ;11;13;4; ;2;2;1; ; ;19; ; ;3; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;40; ; ; ; ; ; ; ; ; ; ; ; ; ;1984; ; ; ; ; ; ; ; ;2906; ; ; ; ; ; ; ; ;252; ; ;8; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ;4; ;2; ;3; ;1; ;1; ; ; ; ;4; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2281;623;390;3200;40;10;10;8;2; ; ; ;472; ;11; ;13;8;8; ;8;11;8; ;5;8;18; ;1;18; ; ;19; ;2; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6; ; ; ; ;50; ; ; ; ; ; ; ; ;771; ; ; ; ; ; ; ; ;853; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ; ; ; ; ;2; ;2;2;3; ;1;3;3; ; ;3; ; ; ;8;1; ;4; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;31; ; ; ; ; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ;145; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;290;156;1;162; ;6;18;2; ; ; ; ;27; ;9; ;3;6;11; ;7;10;2; ;1;2; ; ; ;3; ; ;1; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;19; ;1; ; ; ; ; ; ; ; ; ; ; ;435; ; ; ; ; ; ; ; ;1110; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ;2;1;3; ;3; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1061;582; ;1206;242;5;7;8; ; ; ; ;203; ;3; ;5;3;4; ;6;6;5;1;3;4;6; ; ;10;1; ;14; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;24; ; ; ; ; ; ; ; ; ; ; ; ; ;148; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;252;155;71;331;71;4;8;4; ;5; ; ; ; ;2; ;6;2;7; ;7;7;2; ;3;3;3; ; ; ; ;1;3; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;13; ; ; ; ; ; ; ; ; ; ; ; ; ;325; ; ; ; ; ; ; ; ;376; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;727;107; ;487; ;3;3;3;1;1; ; ;84; ;4; ;3;4;3; ;2;4;3;1; ;4;5; ;1;7; ; ;4; ; ; ; ; 
