provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Mendoza;MAIPU;Estatal;Urbano;75;75;75; ; ; ; ; ;65;49;33;15;59;55;63;40; ;49;3;59;16;12;9;3;1;10;9;8;4; ;6;55;4;15;12;37;11;4;1;58;13;7;17;34;4;42;28;48;41;4;2;1;49;41;62;21; ; ; ; ; 
Mendoza;MAIPU;Privado;Urbano;31;31;31; ; ; ; ; ;30;25;18;11;26;29;24;16; ;17;1;26; ;5;4;5;4;9;9;12;4; ;7;5;19;10;6;9;2;2;1;23;6;14;12;15; ; ;24;13;4;6;1;2;16;14;22;19;8;8;8;7;3
Mendoza;MALARGUE;Estatal;Rural;17;17;11;7;4;1; ; ;16;16;14;3;13;14;17;5; ;13; ;13;3;1;2;3; ;1;1;2;1; ;1;16; ; ; ; ;15;1; ;15;7;2;7;6;1;5;10;14;14; ; ; ;13;7;16;2; ; ; ; ; 
Mendoza;MALARGUE;Estatal;Urbano;22;22;21; ; ; ; ;1;18;15;13;2;18;16;18;11; ;12; ;16;5;4;3;4;1;4;4;3;1; ;2;14;3;2;4;3;4;6; ;16;2;1;4;9; ;10;9;13;10;1;1;1;12;7;12;7; ; ; ; ; 
Mendoza;RIVADAVIA;Estatal;Rural;31;31;31; ; ; ; ; ;27;26;25;12;26;22;31;12; ;19;1;28;16;5;2; ; ;2;3;1;2; ;1;29;1;1;2;2;19;7; ;30;9;5;12;20; ;26;5;26;24;2; ; ;27;25;22;9; ; ; ; ; 
Mendoza;RIVADAVIA;Estatal;Urbano;20;20;20; ; ; ; ; ;18;13;13;7;17;18;17;12; ;11; ;17;4;4;5;2;2;3;4;3;1; ;4;15;1;1;1;2;4;9; ;16;2;6;5;9;5;11;3;13;11;1; ;1;12;11;17;6; ; ; ; ; 
Mendoza;RIVADAVIA;Privado;Rural;10;10;10; ; ; ; ; ;8; ;1; ;5;8;1;6; ; ; ;2; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ;1; ; ; ;1; ; ; ; ; ;1;8;1; ; ; ;1; ; ;3; ;6; ; ; ; 
Mendoza;SAN CARLOS;Estatal;Rural;20;20;19;1;1;1; ; ;16;13;6;4;16;15;18;10; ;9; ;15;7;4;3;1;1;4;3;3;3; ;1;9;2;1; ; ;7;3;1;9;2;1;1;2;1;12;7;15;14; ; ;1;13;7;17;5; ; ; ; ; 
Mendoza;SAN CARLOS;Estatal;Urbano;27;27;27; ; ; ;1; ;24;21;10;3;21;22;22;17; ;13;1;24;8;6;6;3; ;6;5;5;4; ;2;14;4; ;4;3;7;7; ;17;1;2;5;7;2;17;8;22;21;1; ; ;14;10;22;8; ; ; ; ; 
Mendoza;SAN CARLOS;Privado;Rural;6;6;6; ; ; ; ; ;6; ;1; ;4;6; ;4; ; ; ;5; ;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ; ; ; ;2; ;3; ; ; ; 
Mendoza;SAN CARLOS;Privado;Urbano;20;20;20; ; ; ; ; ;17;7;5;1;14;15;7;9; ;5; ;12; ;3;3;1;1;4;3;4;2; ;1; ;8;2;4;2;2; ; ;6;5;4;4;4;2;1;13;7;3;1;2;1;5;5;11;9;13;3;3;4; 
Mendoza;SAN MARTIN;Estatal;Rural;51;51;51; ; ; ; ; ;45;43;32;12;37;40;45;20; ;26; ;41;22;13;10;8;3;8;11;10;5; ;4;24;16;1;2;7;22;8;2;39;8;7;12;17;3;39;9;42;38;3; ;1;35;24;44;18; ; ; ; ; 
Mendoza;SAN MARTIN;Estatal;Urbano;45;45;45; ; ; ; ; ;38;34;23;10;37;36;39;30; ;20;1;34;15;11;8;4;2;7;9;6;3; ;4;18;15;11;5;7;10;2; ;31;6;11;10;15;3;40;2;36;33;2; ;1;27;23;40;16; ; ; ; ; 
