provincia;departamento;sector;ambito;Localizacion;PoblaciónIndigenaInicial;PoblaciónIndigenaPrimaria;PoblaciónIndigenaSecundaria;PoblaciónIndigenaSNU;IdiomasInicialInglés;IdiomasInicialFrancés;IdiomasInicialPortugués;IdiomasInicialItaliano;IdiomasInicialAlemán;IdiomasInicialOtro;IdiomasInicialMásdeunIdioma;IdiomasInicialChino;IdiomasPrimariaInglés;IdiomasPrimariaFrancés;IdiomasPrimariaPortugués;IdiomasPrimariaItaliano;IdiomasPrimariaAlemán;IdiomasPrimariaOtro;IdiomasPrimariaMásdeunIdioma;IdiomasPrimariaChino;IdiomasSecundariaInglés;IdiomasSecundariaFrancés;IdiomasSecundariaPortugués;IdiomasSecundariaItaliano;IdiomasSecundariaAlemán;IdiomasSecundariaOtro;IdiomasSecundariaMásdeunIdioma;IdiomasSecundariaChino;IdiomasSNUInglés;IdiomasSNUFrancés;IdiomasSNUPortugués;IdiomasSNUItaliano;IdiomasSNUAlemán;IdiomasSNUOtro;IdiomasSNUMásdeunIdioma;IdiomasSNUChino;BoliviaInicial;BrasilInicial;ChileInicial;ColombiaInicial;EcuadorInicial;ParaguayInicial;PerúInicial;UruguayInicial;VenezuelaInicial;OtrospaísesdeAméricaInicial;EuropaInicial;AsiaInicial;OtrosInicial;BoliviaPrimaria;BrasilPrimaria;ChilePrimaria;ColombiaPrimaria;EcuadorPrimaria;ParaguayPrimaria;PerúPrimaria;UruguayPrimaria;VenezuelaPrimaria;OtrospaísesdeAméricaPrimaria;EuropaPrimaria;AsiaPrimaria;OtrosPrimaria;BoliviaSecundaria;BrasilSecundaria;ChileSecundaria;ColombiaSecundaria;EcuadorSecundaria;ParaguaySecundaria;PerúSecundaria;UruguaySecundaria;VenezuelaSecundaria;OtrospaísesdeAméricaSecundaria;EuropaSecundaria;AsiaSecundaria;OtrosSecundaria;BoliviaSNU;BrasilSNU;ChileSNU;ColombiaSNU;EcuadorSNU;ParaguaySNU;PerúSNU;UruguaySNU;VenezuelaSNU;OtrospaísesdeAméricaSNU;EuropaSNU;AsiaSNU;OtrosSNU;BeneficiariosdealimentacióngrauitaDesayuno;BeneficiariosdealimentacióngrauitaAlmuerzo;BeneficiariosdealimentacióngrauitaRefrigerio;BeneficiariosdealimentacióngrauitaMerienda;BeneficiariosdealimentacióngrauitaCena;TenenciadecomputadoraInicial;TenenciadecomputadoraPrimaria;TenenciadecomputadoraSecundaria;TenenciadecomputadoraSNU;Alumnosquenuncaasistieronasalade5años;AlumnosconPromociónasistidaacompañadaPrimaria;AlumnosconPromociónasistidaacompañadaSecundaria;AlumnosenjornadacompletaPrimaria;AlumnosenjornadaextendidaPrimaria;TurnoMañanaInicial;TurnoIntermedioInicial;TurnoTardeInicial;TurnoDobleInicial;TurnoMañanaPrimaria;TurnoIntermedioPrimaria;TurnoTardePrimaria;TurnoDoblePrimaria;TurnoMañanaSecundaria;TurnoIntermedioSecundaria;TurnoTardeSecundaria;TurnoDobleSecundaria;DiscapacidadConapoyoestatalInicial;DiscapacidadConapoyoprivadoInicial;DiscapacidadSinapoyoInicial;DiscapacidadConapoyoestatalPrimaria;DiscapacidadConapoyoprivadoPrimaria;DiscapacidadSinapoyoPrimaria;DiscapacidadConapoyoestatalSecundaria;DiscapacidadConapoyoprivadoSecundaria;DiscapacidadSinapoyoSecundaria;DiscapacidadConapoyoestatalSNU;DiscapacidadConapoyoprivadoSNU;DiscapacidadSinapoyoSNU
Buenos Aires;25 DE MAYO;Estatal;Rural;49; ; ; ; ; ; ; ; ; ; ; ; ;351; ; ; ; ; ; ; ;637;23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;430;309; ;701; ;12;30;6; ;6;0;0;179; ;2; ;10;2;7; ;23;9;4; ;2;5; ; ; ;14; ; ;8; ; ; ; ; 
Buenos Aires;25 DE MAYO;Estatal;Urbano;42; ; ; ; ; ; ; ; ; ; ; ; ;745; ; ; ; ; ; ; ;2191; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1966;877;308;1990; ;19;12;7;3;1;0;0;427; ;9;1;18;10;4; ;6;9;6; ;4;7;6;4;9;51;3;1;78; ; ; ; ; 
Buenos Aires;25 DE MAYO;Privado;Urbano;9; ; ; ; ;300; ; ; ; ; ; ; ;699; ; ; ; ; ; ; ;737; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2; ; ;1;0; ; ; ; ;3; ;2; ;3;2;2; ;1;2; ;2;5;11; ; ;9; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Rural;51; ; ; ; ; ; ; ; ; ; ; ; ;434; ; ; ; ; ; ; ;592; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;872;609;65;888;119;13;23;8; ;5;8;0;447; ;9; ;9;9;5; ;12;13;2; ;8;3;4; ; ;12; ; ;18; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;36; ; ; ; ; ; ; ; ; ; ; ; ;1903; ; ; ; ; ; ; ;2814; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ;6; ;1;1; ;2;1; ;2; ; ;1; ;4; ; ; ;1;7; ; ;1;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2842;550;183;3111;171;14;11;8;2; ;47;0;460; ;11; ;13;11;8; ;8;11;7; ;8;7;25;1; ;49; ;1;40; ;9; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7; ; ; ; ;188; ; ; ; ; ; ; ;557; ; ; ; ; ; ; ;856; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3; ; ;0;0; ; ;2; ;1;2;3; ;1;3;3; ; ;3;2;3; ;9;6;3;8; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;27; ; ; ; ; ; ; ; ; ; ; ; ;131; ; ; ; ; ; ; ;200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;341;86;8;305; ;10;11;3; ; ;0;0;38; ;6; ;6;5;8; ;5;7;3;1;1;3;2; ;3;5; ;1;4; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;18; ; ; ; ; ; ; ; ; ; ; ; ;442; ; ; ; ; ; ; ;1017; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1474;692; ;1089;258;4;7;7; ; ;3;0;292; ;3; ;4;3;3; ;4;6;6; ;4;5;7; ;1;24; ;1;15; ;2; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;22; ; ; ; ; ; ; ; ; ; ; ; ;111; ; ; ; ; ; ; ;177; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261;242;58;376;58;7;10;4; ;2;3;0; ; ;2; ;6;2;5; ;7;5;2; ;3;3;2; ; ;7; ; ;8; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Urbano;14; ; ; ; ; ; ; ; ; ; ; ; ;338; ; ; ; ; ; ; ;174; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;825;232; ;605; ;5;4;4;1; ;8;0;134; ;4; ;4;4;2; ;2;4;4; ;1;3;5; ; ;6; ;1;9; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Rural;19; ; ; ; ; ; ; ; ; ; ; ; ;118; ; ; ; ; ; ; ;211; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;391;215;117;360;76;6;9;2; ;28;0;0;78; ;3; ;4;3;2; ;6;4;2; ;1;2;2; ; ;1; ; ;1; ; ; ; ; 
Buenos Aires;ALBERTI;Estatal;Urbano;9; ; ; ; ; ; ; ; ; ; ; ; ;344; ; ; ; ; ; ; ;651; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;2;1; ; ; ; ;3;1; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;807;411; ;867;43;3;2;3; ; ;1;0;97; ;2; ;3;2;2; ;2;3;3; ;3;3;4; ; ;13;3; ;11; ; ; ; ; 
Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;244; ; ; ; ; ; ; ; ; ;1; ; ;19799; ; ; ; ; ; ; ;29472; ; ; ; ; ;62; ;322;38; ; ; ; ; ; ;8; ;1; ;1;19;3; ;6; ; ; ; ;97;6;1;7;1;176;15;6;35;4;2;15; ;176;6;4;3; ;283;47;6;24;5;8;2;2;4; ;2;1; ;20;4;1;3; ; ; ; ;38658;22384;12097;34099; ;64;74;73;2;458;116;0;3667; ;67; ;67;67;68;4;70;82;86;3;85;86;143;24;218;583;103;112;290;82;39; ; ;2
Buenos Aires;ALMIRANTE BROWN;Privado;Urbano;174; ; ; ; ;3531; ; ; ; ; ; ; ;16040; ; ; ; ; ; ; ;11913; ; ; ; ; ;431; ;385; ; ; ; ; ; ; ; ;1; ;3; ;5;1;1;1;3; ;1; ;7;3;3;7; ;5;3;1;12;4;3;1; ;11;1;1;2;1;28;12;1;14;2;11;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;355;212;173; ; ;59;49;53;2;41;22;0;289; ;60; ;57;60;44;1;43;45;50; ;21;50;23;63;142;73;217;80;32;72;10; ; ; 
Buenos Aires;ARRECIFES;Estatal;Rural;17; ; ; ; ; ; ; ; ; ; ; ; ;121; ; ; ; ; ; ; ;181; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2; ; ; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;181;138; ;280; ;5;10;2; ; ;1;0; ; ;3; ;3;3;3; ;7;3;1; ;1;1;1; ; ;4;1;2;8; ; ; ; ; 
Buenos Aires;ARRECIFES;Estatal;Urbano;29; ; ; ; ; ; ; ; ; ; ; ; ;1371; ; ; ; ; ; ; ;1888; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ;3; ;1; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2700;690; ;2384; ;12;9;7;1; ;26;0;89; ;7; ;9;9;6; ;8;7;6; ;5;6;3;2;14;43;7;45;34;4;14; ; ; 
Buenos Aires;AVELLANEDA;Estatal;Urbano;185; ; ; ; ; ; ; ; ; ; ; ; ;12556; ; ; ; ; ; ; ;21866;188;210; ; ; ;74; ;662;11; ; ; ; ; ; ;4;2; ;4; ;18;14;1;36;4;1; ; ;53;4;2;11;2;141;64;10;238;15;1; ;6;69;5;3;16;1;262;82;25;189;28;14;2;4;34; ;12;11; ;54;28;8;6;12;4;1; ;23948;15069;4745;17191;134;71;55;39;11;223;288;0;4789; ;67;1;65;73;34; ;35;55;41;2;39;41;93;51;169;451;81;60;231;41;17;4; ;1
Buenos Aires;AVELLANEDA;Privado;Urbano;112; ; ; ; ;1983; ;1; ; ; ;1; ;11491; ;1; ; ; ; ; ;9844; ; ; ; ; ; ; ;320; ;60; ; ; ; ; ; ; ; ;1; ;3; ; ;5;2;1; ; ;5;5; ;7;1;9;4;1;59;1;2;1; ;16;4; ;6; ;20;20;2;53;7;14;5;1;21; ; ; ; ;21; ; ;2; ; ; ; ;142; ; ;123; ;40;35;34;5;312;23;0;611; ;36; ;37;35;28; ;22;30;29; ;16;28;11;77;85;77;202;77;32;72;14; ; ;1
